word,score
좋았어요 스토리,3
좋았어요 잔잔해서,3
좋았어요 영화는,3
좋았어요 내용이,3
좋았어요 스토리가,3
좋았어요 슬프네요,3
좋았어요 볼수있어서,3
좋았어요 감동적인,3
좋았어요 감사합니다,3
좋았어요 않아서,3
좋았어요 감동,2
좋았어요 영상미도,2
좋았어요 했지만,2
좋았어요 딸에,2
좋았어요 영화봐서,2
좋았어요 배우들,2
좋았어요 영화라,2
좋았어요 무척,2
좋았어요 되어서,2
좋았어요 있고,2
좋았어요 눈빛연기가,2
좋았어요 연출,2
좋았어요 재미있었습니다,2
좋았어요 슬프지만,2
좋았어요 명작은,2
좋았어요 반전은,2
좋았어요 또보고싶어요,2
좋았어요 pick,2
좋았어요 몰입도가,2
좋았어요 봣어요,2
좋았어요 많이,2
좋았어요 뭉클하고,2
좋았어요 배우님,2
좋았어요 재미있게,2
좋았어요 역시네요,2
좋았어요 괜찮았어요,2
좋았어요 다시봐서,2
좋았어요 놀란,2
좋았어요 신선하고,2
좋았어요 그렇다고,2
좋았어요 가장,2
좋았어요 영화가,2
좋았어요 가족과,2
좋았어요 치매라는,2
좋았어요 기대보다,2
좋았어요 로망,2
좋았어요 없고,2
좋았어요 같아,2
좋았어요 완전,2
좋았어요 여운이,2
좋았어요 구성이,2
좋았어요 배우연기,2
좋았어요 슬퍼서,2
좋았어요 반전,2
좋았어요 재미있었어요,2
좋았어요 따뜻하고,2
좋았어요 저는,2
좋았어요 담백합미당,1
좋았어요 재미나게,1
좋았어요 다시,1
좋았어요 이어지는게,1
좋았어요 재미굿이네요,1
좋았어요 오랜만에,1
좋았어요 영상미,1
좋았어요 엄마랑같이봐서,1
배우들의 연기가,200
배우들의 연기도,53
배우들의 연기는,50
배우들의 연기,45
배우들의 연기에,29
배우들의 열연이,18
배우들의 연기와,18
배우들의 연기력이,15
배우들의 모든,13
배우들의 좋은,12
배우들의 연기력,11
배우들의 연기로,10
배우들의 뛰어난,10
배우들의 연기력은,9
배우들의 비롯한,8
배우들의 연출과,8
배우들의 훌륭한,7
배우들의 연기력으로,6
배우들의 주연,6
배우들의 열연,6
배우들의 호연이,5
배우들의 연기력과,5
배우들의 믿고,5
배우들의 멋진,4
배우들의 연출,4
배우들의 힘이,4
배우들의 연기력도,4
배우들의 작품,4
배우들의 좋고,4
배우들의 호연,3
배우들의 명연기,3
배우들의 건,3
배우들의 연출력,3
배우들의 힘,3
배우들의 명연기에,3
배우들의 열연에,3
배우들의 명연기가,3
배우들의 아름다운,3
배우들의 명연기와,3
배우들의 호연에,3
배우들의 연기까지,3
배우들의 연기를,3
배우들의 않다,3
배우들의 탄탄한,3
배우들의 좋았다,3
배우들의 미친,3
배우들의 스토리지만,3
배우들의 연기력에,3
배우들의 연기파,3
배우들의 반전,3
배우들의 감동,2
배우들의 연기덕에,2
배우들의 호연으로,2
배우들의 했지만,2
배우들의 주조연,2
배우들의 안정적인,2
배우들의 좋았고,2
배우들의 했던,2
배우들의 믿고보는,2
배우들의 영화였어요,2
배우들의 영화네요,2
배우들의 몰입도,2
배우들의 스토리,2
배우들의 전개였지만,2
배우들의 매력이,2
배우들의 내용이지만,2
배우들의 있으나,2
배우들의 역시,2
배우들의 이야기와,2
배우들의 꽉찬,2
배우들의 좋다,2
배우들의 연기에서,2
배우들의 느낌,2
배우들의 영화였습니다,2
배우들의 잔잔한,2
배우들의 리즈,2
배우들의 명연기로,2
배우들의 연륜있는,2
배우들의 호연을,2
배우들의 엄청난,2
배우들의 빛나는,2
배우들의 영화입니다,2
배우들의 믿을만한,2
배우들의 소재와,2
배우들의 관록있는,2
배우들의 있었다,2
배우들의 행동,2
배우들의 먹먹하고,2
배우들의 안정된,2
배우들의 열연을,2
배우들의 감동적이고,2
배우들의 베테랑,2
배우들의 없는,2
배우들의 깊이있는,2
배우들의 포장하는,2
배우들의 무엇보다도,2
배우들의 속,2
배우들의 열연과,2
배우들의 현실적인,2
배우들의 원로,2
영화네요 좋은,33
영화네요 만드는,14
영화네요 따뜻한,13
영화네요 되는,11
영화네요 많은,8
영화네요 남는,8
영화네요 먹먹해지는,8
영화네요 해주는,8
영화네요 슬픈,8
영화네요 감동이,8
영화네요 생각하게,7
영화네요 아픈,7
영화네요 감동적인,7
영화네요 어려운,7
영화네요 볼만한,6
영화네요 싶은,6
영화네요 만든,5
영화네요 나는,5
영화네요 따뜻해지는,5
영화네요 가족,5
영화네요 드는,5
영화네요 멋진,4
영화네요 생각나는,4
영화네요 보고싶은,3
영화네요 생각나게,3
영화네요 주는,3
영화네요 지는,3
영화네요 나게,3
영화네요 많아지는,3
영화네요 하게,3
영화네요 괜찮은,3
영화네요 같은,3
영화네요 난해한,3
영화네요 해준,3
영화네요 잘봤어요,3
영화네요 뭉클한,2
영화네요 일깨워주는,2
영화네요 들게하는,2
영화네요 20년전,2
영화네요 좋았습니다,2
영화네요 지루한,2
영화네요 봤던,2
영화네요 했던,2
영화네요 봐야하는,2
영화네요 계속,2
영화네요 먹먹한,2
영화네요 꼭,2
영화네요 떠오르는,2
영화네요 신기한,2
영화네요 추천합니다,2
영화네요 잔잔한,2
영화네요 들게,2
영화네요 독특한,2
영화네요 볼,2
영화네요 최고의,2
영화네요 엄마랑,2
영화네요 강추,2
영화네요 가는,2
영화네요 가득한,2
영화네요 배우들의,2
영화네요 부모님이랑,2
영화네요 여운이,2
영화네요 색다른,2
영화네요 특별한,2
영화네요 본,2
영화네요 반전있는,2
영화네요 아쉬운,2
영화네요 돋보이는,2
영화네요 보여주는,2
영화네요 아무생각없이,1
영화네요 즐거웠습니다,1
영화네요 다시,1
영화네요 유명한,1
영화네요 많은생각이들게하는,1
영화네요 아릿한,1
영화네요 배우와,1
영화네요 알게해주는,1
영화네요 감동,1
영화네요 슬펐던,1
영화네요 이건,1
영화네요 굿굿굿,1
영화네요 있었던,1
영화네요 미스테리한게,1
영화네요 할,1
영화네요 슬퍼요,1
영화네요 돌아보게,1
영화네요 모두의,1
영화네요 후회없을,1
영화네요 명작임,1
영화네요 생각하게만드는,1
영화네요 부족한,1
영화네요 되새기게,1
영화네요 슬퍼지는,1
영화네요 마음이잔잔해지는,1
영화네요 와우눈물나는,1
영화네요 꼭봤으면하는,1
영화네요 재밌었어요,1
영화네요 많아지게하는,1
영화네요 엄마,1
영화네요 영화를,1
감동 잔잔한,34
감동 재미와,18
감동 반전과,16
감동 반전,14
감동 눈물,12
감동 재미,12
감동 웃음,11
감동 슬픔,11
감동 자체,10
감동 드라마,9
감동 스토리,8
감동 연기에,8
감동 억지,8
감동 진한,7
감동 적인,7
감동 최고의,7
감동 완전,7
감동 깊게,6
감동 이,6
감동 큰,6
감동 폭풍,5
감동 오는,5
감동 마지막,5
감동 뭉클한,4
감동 있게,4
감동 이상의,4
감동 깊은,4
감동 받았습니다,4
감동 있고,4
감동 을,4
감동 입니다,4
감동 가족,4
감동 반전까지,4
감동 노,3
감동 할,3
감동 부모님과,3
감동 재밌었어요,3
감동 자체인,3
감동 은,3
감동 모두를,3
감동 반전에,3
감동 같은,3
감동 뻔한,3
감동 적,3
감동 슬프고,3
감동 재미를,3
감동 웃음과,3
감동 둘다,3
감동 받아서,3
감동 받았네요,3
감동 받았고,3
감동 오랜만에,2
감동 마지막만,2
감동 좋았어요,2
감동 이건,2
감동 멜로,2
감동 엄청,2
감동 백배,2
감동 폭풍눈물,2
감동 남는,2
감동 짜내기,2
감동 반전의,2
감동 배우들,2
감동 가족끼리,2
감동 남을,2
감동 짜내는,2
감동 주는,2
감동 재미있고,2
감동 먹먹한,2
감동 최고였어요,2
감동 받고,2
감동 밀려오는,2
감동 아이들과,2
감동 넘치는,2
감동 재밌고,2
감동 느낌,2
감동 눈물바다,2
감동 영화였습니다,2
감동 다,2
감동 진짜,2
감동 보세요,2
감동 재미있게,2
감동 간만에,2
감동 만큼은,2
감동 봐도,2
감동 사랑에,2
감동 영화입니다,2
감동 휴머니즘,2
감동 부모님께,2
감동 가장,2
감동 듯한,2
감동 나중에는,2
감동 최고,2
감동 잘봤습니다,2
감동 배우들의,2
감동 재미가,2
감동 로맨스,2
감동 대박,2
감동 그자체,2
감동 기대안하고봤는데,2
반전이 마지막,22
반전이 있어서,15
반전이 있네요,13
반전이 있고,11
반전이 못한,11
반전이 있는영화,7
반전이 마지막에,7
반전이 있을,7
반전이 감동과,6
반전이 있었네요,5
반전이 아닌,5
반전이 있다는,5
반전이 있는데,5
반전이 슬픔,5
반전이 결말의,4
반전이 있었고,4
반전이 있던,4
반전이 있을줄은,4
반전이 약간의,4
반전이 있었지만,4
반전이 좋았다,4
반전이 의외의,4
반전이 감동적인,4
반전이 있어,4
반전이 있다고,3
반전이 있었던,3
반전이 억지스럽지만,3
반전이 뒤에,3
반전이 기다리고,3
반전이 날,3
반전이 없었으면,3
반전이 주는,3
반전이 끝에,3
반전이 황당,3
반전이 있을줄이야,3
반전이 있지만,3
반전이 좋네요,3
반전이 마지막의,3
반전이 진짜,3
반전이 엄청난,3
반전이 억지스러운,3
반전이 있었다,3
반전이 나름,3
반전이 슬프다,3
반전이 대박,3
반전이 숨어있는,3
반전이 후반에,3
반전이 감동적입니다,2
반전이 잔잔하고,2
반전이 스릴러,2
반전이 드라마의,2
반전이 근데,2
반전이 만회,2
반전이 놀라웠다,2
반전이 막판,2
반전이 영화에,2
반전이 했는데,2
반전이 감동적이었어요,2
반전이 스토리에,2
반전이 후반부에,2
반전이 스토리,2
반전이 따뜻한,2
반전이 마음을,2
반전이 예상되는,2
반전이 인상,2
반전이 의아해스럽지만,2
반전이 아름다운,2
반전이 식스센스급,2
반전이 있다기에,2
반전이 인상깊다,2
반전이 이런영화에,2
반전이 있습니다,2
반전이 후반부의,2
반전이 다,2
반전이 슬픈,2
반전이 있어요,2
반전이 있긴,2
반전이 속에,2
반전이 크게,2
반전이 슬프네요,2
반전이 그나마,2
반전이 나름의,2
반전이 뜻밖의,2
반전이 반전,2
반전이 감동을,2
반전이 알았는데,2
반전이 뒷부분,2
반전이 영화였다,2
반전이 영화다,2
반전이 돋보이는,2
반전이 되었다,2
반전이 있네,2
반전이 큰,2
반전이 감춰져있었다,1
반전이 있다는게,1
반전이 담고,1
반전이 충격적인,1
반전이 당황스러운,1
반전이 오랜만에,1
반전이 쏙빼는,1
오랜만에 다시,33
오랜만에 본,17
오랜만에 좋은,13
오랜만에 따뜻한,11
오랜만에 감동적인,11
오랜만에 보니,9
오랜만에 봐도,9
오랜만에 펑펑,6
오랜만에 극장에서,6
오랜만에 보면서,6
오랜만에 눈물,5
오랜만에 괜찮은,5
오랜만에 만나는,5
오랜만에 가슴,5
오랜만에 마음이,5
오랜만에 봐서,5
오랜만에 마음,4
오랜만에 영화보면서,4
오랜만에 진짜,4
오랜만에 엄마랑,4
오랜만에 가슴이,4
오랜만에 영화관에서,4
오랜만에 봤는데,4
오랜만에 부모님과,3
오랜만에 영화를,3
오랜만에 안성기,3
오랜만에 영화보고,3
오랜만에 명작,3
오랜만에 다시본,3
오랜만에 만난,3
오랜만에 좋은영화를,3
오랜만에 다시봐도,3
오랜만에 눈물을,3
오랜만에 보는데,3
오랜만에 여운이,3
