배우들의,카시오페아,감사합니다,영화네요,잘봤습니다,마지막에,홉킨스의,생각을,사랑이,재미있게,줄리안,오늘을,봐도,마음이,감동을,눈물,보았습니다,좋아요,드라마,기억은,추천합니다,살아가세요,생각하게,인생영화,홉킨스,좋은,보면,좋았습니다,나는,크리스토퍼,마지막,슬프고,엄마랑,가족의,내가,불과하다지만,아름다운,슬퍼요,재미있어요,영화관에서,오랜만에,부시게,연기,다시,슬프다,부모님과,눈이,배우들,반전이,펑펑,감동이,사랑을,사랑,잔잔하고,생각보다,영화를,영화입니다,딸에,그럼에도,영화가,레이첼,현실적인,안소니,아름답다,기억을,잔잔한,하게,보는내내,연기가,좋았어요,진짜,슬픈,연기는,감동적인,로맨스,부모님,놀란,잔잔하게,역시,명작,감동,소중함을,나도,감동적이고,사랑은,사랑하는,생각이,서현진,메멘토,재밌어요,가슴이,다시봐도,영화는,무어의,재밌게,맥아담스,반전
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,27,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,152,0,1,0,0,0,14,3,4,0,21,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0
28,0,34,36,7,3,3,4,8,7,3,0,29,10,7,11,6,2,23,8,6,0,14,0,1,104,54,8,20,1,11,4,4,8,23,1,8,0,0,3,23,4,43,29,1,13,6,4,6,2,11,16,7,5,2,63,46,2,8,28,5,1,6,0,16,8,5,1,29,5,17,6,4,3,9,8,3,5,13,6,6,7,17,3,1,6,18,6,2,0,8,13,54,4,5,0,2
1,0,0,7,0,3,3,5,5,0,0,1,3,9,2,8,0,6,9,4,2,0,2,0,2,54,20,2,13,2,6,4,4,5,16,1,17,1,0,2,1,0,9,30,2,17,2,3,5,8,8,7,7,1,2,44,7,1,4,10,1,3,6,0,9,3,2,0,6,0,18,4,2,4,6,4,5,1,2,0,5,1,7,0,7,12,11,0,0,2,6,2,9,1,6,0,0
12,2,2,6,4,2,1,3,1,1,2,91,0,2,0,3,0,0,2,0,2,2,0,0,0,8,2,8,1,1,5,0,1,5,1,11,1,0,0,8,6,1,29,10,0,2,3,2,3,2,3,2,2,3,3,5,2,8,89,4,0,2,2,0,0,4,0,2,93,2,5,1,8,2,0,1,0,0,5,1,3,0,1,9,0,0,6,3,3,0,1,2,5,0,1,0,1
7,0,0,5,0,5,1,12,24,1,5,4,12,19,2,25,0,1,21,13,2,0,10,0,0,20,13,1,162,0,38,6,6,4,184,1,16,1,0,1,3,1,9,58,8,0,11,1,2,9,1,38,18,2,3,53,4,7,17,33,7,5,3,1,43,3,9,3,8,1,28,8,4,2,5,4,0,2,14,1,4,2,23,3,15,21,39,0,0,0,5,1,30,2,1,0,2
1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,1,0,1,2,1,0,0,2,0,0,0,3,0,1,0,0,1,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,1,148,0,24,4,1,0,0,0,0,0,2,0,9,0,0,1,8,0,0,0,1
3,0,2,3,2,5,10,6,10,1,6,3,1,11,11,15,3,0,23,4,1,0,10,1,2,11,6,5,38,2,42,8,4,5,25,3,13,3,0,0,2,6,14,29,7,2,7,6,31,9,7,11,19,0,1,22,6,2,11,24,2,0,11,2,19,7,3,1,12,1,31,4,17,3,9,1,5,2,11,2,8,4,15,4,8,9,14,0,0,1,12,0,16,3,4,1,23
0,1,0,3,0,2,0,2,2,0,0,0,1,4,0,3,0,1,5,0,0,0,3,1,0,4,4,0,6,0,8,12,1,1,7,1,22,0,2,1,6,0,5,6,2,0,2,3,2,1,0,1,3,3,2,4,5,1,0,4,0,3,3,4,2,1,1,2,9,1,17,4,2,15,1,2,1,3,1,0,4,1,4,6,0,4,10,1,0,3,5,2,6,0,1,0,6
1,0,0,3,2,1,0,1,0,4,0,0,0,1,4,9,0,2,2,1,1,0,3,0,0,4,4,1,6,0,4,1,2,2,2,0,1,1,0,1,4,0,1,2,0,1,0,0,2,6,0,0,0,5,1,2,1,1,1,3,0,0,0,0,0,1,0,1,2,8,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,7,0,0,0,3,0,3,0,2,0,2
10,1,0,4,1,1,0,4,25,2,0,0,0,11,4,3,0,1,1,0,0,0,15,0,1,8,5,5,4,0,5,1,2,16,12,0,7,0,0,0,4,0,2,29,2,2,0,1,3,3,5,34,26,0,1,10,3,2,3,10,0,7,0,0,8,5,2,0,5,4,5,4,4,2,1,2,0,3,8,0,3,99,0,4,9,5,9,2,0,0,3,0,19,1,0,0,6
2,0,1,1,0,5,5,20,26,0,11,1,14,28,3,18,0,1,21,22,0,0,20,2,4,23,16,1,184,3,25,7,2,12,414,7,21,0,0,5,3,3,14,80,12,2,11,3,2,8,1,35,23,1,6,91,0,6,14,45,8,8,9,3,46,2,14,5,15,2,47,21,11,4,21,1,6,1,11,3,1,4,54,0,12,65,34,3,3,0,11,1,30,2,1,1,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,1,11,1,0,3,1,0,0,7,0,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,1,3,1,4,0,1,31,0,4,0,4,15,10,10,1,4,9,7,0,0,5,2,0,8,17,1,16,1,13,22,1,7,21,2,102,0,1,1,1,28,9,23,3,3,12,1,3,2,4,29,69,5,1,14,11,1,11,17,9,2,0,6,16,1,2,1,4,3,16,14,5,5,11,2,1,1,7,3,4,1,12,6,20,15,7,0,0,0,5,1,20,5,1,4,4
0,0,0,1,1,3,0,0,0,0,0,0,1,2,0,4,0,3,0,0,0,0,1,0,0,0,1,0,1,0,3,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,1,2,0,0,0,1,0,0,3,0,1,4,0,0,0,0,4,0,0,3,3,0,6,1,0,0,1,2,0,1,0,0,1,1,4,2,1,0,3,2,0,1,3,0,3,0,0,0,1
0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,4,0,3,0,0,1,0,0,2,0,3,2,8,1,1,0,1,1,0,5,0,1,0,0,2,5,0,1,27,1,1,0,1,0,2,0,1,1,0,1,20,6,0,0,1,2,0,0,0,0,0,1,0,1,13,7,1,0,3,0,1,5,0,3,3,1,0,0,1,0,2,0,0,1,2,1,0,9,0,1,0,1
7,0,3,3,4,0,0,4,1,3,0,0,10,8,2,9,0,1,10,3,0,0,1,0,0,23,1,6,3,1,2,6,4,4,3,1,1,0,0,5,2,1,2,41,1,6,2,2,2,8,1,1,3,0,0,31,3,2,0,11,0,0,2,0,1,2,0,0,9,9,8,3,4,18,0,2,2,0,8,4,5,1,2,0,1,1,8,2,1,2,5,5,1,0,2,0,4
1,0,2,0,0,1,0,0,0,0,0,9,0,5,0,0,0,0,14,2,1,1,0,0,0,4,0,1,1,0,6,0,0,0,3,2,28,0,0,0,1,0,4,1,1,0,336,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
64,0,5,1,8,2,53,7,0,2,32,1,9,8,2,25,2,24,12,2,2,0,5,1,27,43,9,29,9,0,14,5,1,2,14,0,9,1,0,1,2,4,38,9,2,0,7,40,5,13,3,1,6,2,2,14,5,1,1,11,1,7,25,0,7,2,0,1,15,44,57,4,3,9,1,3,2,2,23,3,8,0,9,3,2,1,9,69,1,2,6,1,5,59,6,1,5
5,1,2,16,3,7,1,21,27,0,9,1,203,21,5,10,1,9,25,7,2,0,91,3,1,29,30,10,58,5,29,6,2,29,80,1,23,0,0,27,41,1,9,138,0,6,9,3,9,7,3,45,26,0,5,90,11,2,12,30,8,5,5,4,33,0,4,0,13,28,32,7,6,9,6,6,21,1,27,15,4,23,23,3,20,24,22,1,10,2,8,4,42,4,4,2,4
0,1,0,1,0,0,0,1,0,1,0,0,1,3,0,7,0,0,3,2,0,0,0,1,1,1,2,0,8,0,7,2,0,2,12,0,3,0,0,1,1,1,2,0,28,1,2,1,3,3,0,0,0,0,1,4,0,0,3,1,0,1,3,0,9,1,0,2,2,0,12,3,0,0,1,1,0,0,0,0,0,0,5,2,4,2,1,0,0,0,1,0,2,2,0,0,4
0,0,0,3,0,1,0,1,0,0,0,0,2,2,2,5,2,5,0,0,1,0,4,0,0,13,17,2,0,0,2,0,1,2,2,0,3,2,0,1,6,0,0,6,1,2,0,1,5,2,0,2,1,0,0,2,3,0,0,4,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,6,0,3,0,0,7,0,1,1,0,1,5,0,0,0,2,0,2,0,1,0,2
