"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","xord****","2021.04.25. 22:02","1","시간 가는 줄 알고 봤습니다....","12","5"
"내일의 기억","cece****","2021.04.22. 22:00","1","알바천국 이네 만4천원이면 넷플릭스로 보고 만다","12","5"
"내일의 기억","rlag****","2021.04.22. 17:33","6","김강우 안습. 에구 , 복이 없구나","12","5"
"내일의 기억","fait****","2021.04.23. 04:44","1","어떻게 1위에 있지? 요즘 볼 영화가 그렇게 없는것도 아닌데","13","6"
"내일의 기억","ghkd****","2021.04.22. 18:36","1","진짜 재미없습니다 비추요","13","6"
"내일의 기억","dmsg****","2021.04.22. 17:49","2","정말재미없어요 걍 집에서보세요 ㅠㅠ","13","6"
"내일의 기억","kell****","2021.04.22. 11:18","2","비추합니다. 괜히 봤어요.","13","6"
"내일의 기억","park****","2021.04.27. 12:04","1","고치라고 했다고 고친 사람이 더 문제라는 정신나간 어느 인간이 만들었다는 그 문제작인가요?","14","7"
"내일의 기억","unsu****","2021.04.21. 14:55","9","좋았어요 스릴러에서멜로로비뀌었네요 여러가지이야기를연출했네요예지배우때문에상영을못하는지알았습니다","17","10"
"내일의 기억","pos0****","2021.04.21. 11:28","10","기대하지 않았는데 기대 이상이었다.스릴러라고해서  무섭고 잔인할  줄알았는데 전혀 아니었다. 반전에 반전에 반전인 영화.","17","10"
"내일의 기억","hedw****","2021.04.21. 10:38","10","너무 긴장감있게 잘 봤음. 극장에서 꼭 봐야하는 영화임 스릴 대박 시간가는 줄 몰랐다","31","24"
"내일의 기억","ruru****","2021.05.19. 15:59","1","평점 9점이라뇨.. 도대체 별점에 무슨짓을 하는거야 이 사기꾼들아 ㅋㅋㅋ","6","0"
