"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","vh2i****","2021.04.22. 15:31","9","괜찮게 봤습니다 긴장감,몰입감..굿","49","41"
"내일의 기억","tere****","2021.04.25. 19:20","4","시나리오와 연출이 미스매치.    과도한 액자가 몰입을 방해함.   시간 낭비.  관람 후 기분이 몹시 나빠짐.","71","63"
"내일의 기억","love****","2021.05.01. 22:17","10","기대안하고봤는데 너무 재밌고 슬프게 봤어요~  오랜만에 넘재밌는 영화찾아 본거 같아요!","17","10"
"내일의 기억","doi8****","2021.04.27. 19:24","10","재밋어여 김강우ㅠㅠ진짜잘해여","24","17"
"내일의 기억","tzia****","2021.04.23. 15:19","9","볼만한 스릴러 영화. 흥미진진하고 친절한 반전이 좋았다.","25","18"
"내일의 기억","ve5h****","2021.04.23. 16:27","10","스릴러라는 장르답게 긴장되고 놀라고ㅋㅋㅋ 감독님의 떡밥 회수 능력에 감탄함ㅋㅋㅋ","26","19"
"내일의 기억","xkgf****","2021.04.21. 20:29","9","영화 자체는 스릴있고 재미있었다","38","31"
"내일의 기억","dhrt****","2023.02.16. 20:59","6","끝까지 지루하지않게 잘 봤지만 스토리가 조금 아쉬웠습니다","8","2"
"내일의 기억","dutl****","2022.04.28. 10:50","7","나름 괜찮았던 영화","12","6"
"내일의 기억","ebor****","2022.03.27. 12:51","10","말해 뭐합니까당장 관람하시고 이 기분을 느껴보세요","15","9"
"내일의 기억","vhzp****","2021.04.28. 13:43","8","빠져들어가면서 봤어요. 기대보다 재밌었습니다","20","14"
"내일의 기억","ghkd****","2021.04.25. 19:45","10","반전에반전 너무잼있으","25","19"
"내일의 기억","bjjh****","2021.04.26. 14:32","8","약간 뻔한 반전이었지만 그래도 재미있어요. 정말 여배우 논란만 아니면 더 흥행했을텐데 김강우 배우 흥하세요","31","25"
"내일의 기억","92o4****","2021.05.07. 14:51","10","음 볼만함 재밌음!!!","16","11"
"내일의 기억","ummw****","2021.04.25. 15:27","9","괜찮은 영화 봤네요~ 연기도 좋고 반전도 있고 감동도 있고~","17","12"
"내일의 기억","id10****","2021.04.28. 22:26","8","반전의 내용으로 약간의 긴장감도 있고보는동안 지루하지 않고 볼만했다","19","14"
"내일의 기억","ee2t****","2021.04.25. 10:29","10","반전이 좋았어요 추천요","19","14"
"내일의 기억","zqsa****","2021.04.25. 18:23","10","아주 재미있게 봤어요 반전있습니다ㅎㅎ","20","15"
"내일의 기억","kkyu****","2021.04.24. 16:41","10","재미있게 봤어요","20","15"
"내일의 기억","t21g****","2021.04.24. 13:07","10","재미있게 잘 봤습니다. 배우들 연기가 정말 좋았어요^^","20","15"
"내일의 기억","o2iw****","2021.04.23. 15:11","10","잘 짜인 스토리 마지막까지 좋았습니다 논란을 뒤로 하고 영화 자체는 정말 괜찮았다","20","15"
"내일의 기억","yebi****","2021.04.25. 15:03","10","재밌어요 큰 기대 않고봤는데 긴장감도 높고 결말도 좋았어요","21","16"
"내일의 기억","seon****","2021.04.24. 16:03","10","예고편으로는 무서울줄 알고 안보려다가 봤는데 재미있네요","21","16"
"내일의 기억","j33x****","2021.04.23. 18:04","10","반전 있는 영화라 제 취향에 딱 맞더라구요ㅎ","21","16"
"내일의 기억","elin****","2021.05.20. 19:05","10","지적인 시나리오. 인상적인 구성.","22","17"
"내일의 기억","1528****","2021.04.28. 22:51","10","배우들 연기 실감나네요.","22","17"
"내일의 기억","heta****","2021.05.03. 14:44","8","생각보다 재밌었고 배우들이 연기를 잘 했다.","23","18"
"내일의 기억","pt4u****","2021.04.23. 19:28","10","기대이상으로 재미있었어요","23","18"
"내일의 기억","kims****","2021.04.22. 21:05","10","식상하지 않고 재밌습니다!! 탄탄한 연출과 김강우 배우님의 연기 너무 좋았습니다!!","24","19"
"내일의 기억","eaai****","2021.04.22. 13:27","10","영화를 만든 모든 분들께 박수를 보냅니다. 정말 잘 관람했습니다^^","24","19"
"내일의 기억","0709****","2021.04.22. 20:47","10","반전의 반전의 반전! 맞네요^^","24","20"
"내일의 기억","tukj****","2021.05.11. 22:00","10","존잼이에여 감동백배 야옹","28","24"
"내일의 기억","hh15****","2021.04.23. 19:27","10","시간가는줄 모르고 잘봤어요 배우들 연기도 좋았고 시나리오 연출도 좋았습니다","28","24"
"내일의 기억","cwek****","2021.04.23. 18:23","10","예상외의 반전이 있네요. 잘봤습니다~","28","24"
"내일의 기억","zpqs****","2021.04.22. 15:17","9","스토리 잘짜여진 영화네요 지루하지도 않고~","29","25"
"내일의 기억","dms_****","2023.03.29. 14:54","10","기억에 대한 맹신을 사용한 기법적인 스릴러","3","0"
"내일의 기억","dosu****","2021.05.02. 19:32","10","반전의 반전이...ㅜㅜ전개가 긴장감 있어서 좋았습니다","15","12"
