"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"그대를 사랑합니다","vldn****","2013.01.06. 19:02","10","내가 이상한걸까,이 영화는 보고, 또 보고, 또 한번 더 봐도 볼 때 마다 느낌이 새롭고 여지없이 눈물이 난다.","8","1"
"그대를 사랑합니다","azsx****","2022.05.07. 23:50","10","10년이 지나도 인생영화","7","1"
"그대를 사랑합니다","jaha****","2016.09.13. 06:32","10","막내딸 돈줄때 가슴이 찡~ 젤 몬난자식 챙겨줄때 부모구나 생각많이하게하는 영화","7","1"
"그대를 사랑합니다","k3s3****","2015.04.26. 21:26","10","이순재 할아버지, 그리고 이 영화 나오셨던 할아버지 할머니 모두.. 오래오래 건강하세요..","7","1"
"그대를 사랑합니다","dnjs****","2015.03.06. 16:35","10","사람삶이라는게 이렇게 덧없는것을 왜이렇게 부모님 소중한줄모르고 살았을까요 장군봉할아버님이 돌아가실때 정말 너무슬프더군요 노년의삶을 쉽게생각했던 제자신이 미워지네요 행복해지고싶고 행복하게살고싶습니다 감사합니다","7","1"
"그대를 사랑합니다","davi****","2013.06.18. 12:36","10","웹툰의 영화화는 이렇게...중요한 것은 감정전달이다","7","1"
"그대를 사랑합니다","gods****","2015.05.20. 19:58","10","정말많은의미가있는영화네요...최고에요..ㅠㅡㅠ","6","1"
"그대를 사랑합니다","cjst****","2015.01.29. 02:30","10","여태껏 본 영화중 최고.... 가슴이 아려오고.. 눈에선눈물이나온다..","6","1"
"그대를 사랑합니다","hear****","2023.08.19. 23:26","10","1984년 어느날 경기여객 버스를 타고 수라리재를 넘던 기억이 납니다. 국민학생  그 어린 나이에도 꼬부랑 길 옆에 늘어선 함석지붕 아래선 누가 살고 있을까?  생각했던 기억이. 어른이 되어서 강풀의 작품속 수라리재 표지판 한컷이 왜 그렇게 가슴이 시렸는지 잘 모르겠습니다. 상동에 두고온 친구들, 그리고 구래국민학교...","7","2"
"그대를 사랑합니다","leon****","2015.01.21. 21:37","10","영화가 진짜 아름답다...","7","2"
"그대를 사랑합니다","kieu****","2022.04.17. 19:50","10","잔잔한 감동 보는 내내 울었어요~","5","1"
"그대를 사랑합니다","muti****","2015.01.23. 10:42","10","극장에서 영화보며 꺼이 꺼이 울었던 기억 좋은 영화다","5","1"
"그대를 사랑합니다","gyom****","2015.01.20. 11:24","10","강풀 만화 원작보다는 슬픔이나 감동이 조금은 덜하지만 그건 영화라서 몇몇 장면이 잘려서 어쩔수없는거고ㅎㅎ 그래도 역시....최고입니다.","6","2"
"그대를 사랑합니다","khr3****","2013.12.28. 01:02","10","아 정말 봐도봐도 원작을 뛰어넘는 감동이 있는것같아요 마지막장면이 너무 인상깊게 남아서 정말 소장해두고 또 보고 또 울고 하면서 보고있습니다. 정말 감동적이에요","6","2"
"그대를 사랑합니다","yepp****","2012.12.29. 17:48","10","해외에 소개하고싶은 우리영화입니다.. 연출이 약간 아쉽긴하지만, 전체적으로 아주 좋습니다^^","6","2"
"그대를 사랑합니다","best****","2022.01.14. 15:21","10","고령화시대에 젊은이들도 오늘날 노인들의 고충과 삶을 쉽게 녹여내어 공감할 수 있는 감동 그 이상의 영화이다.","4","1"
"그대를 사랑합니다","syha****","2021.09.15. 12:06","10","영화 끝나고 나서 진짜 거짓말안치고 두시간동안 펑펑 울었다.. 한국 영화 별로 안좋아하는데 할아버지 할머니 손에서 커서 그런가 너무너무 슬펐다.","4","1"
"그대를 사랑합니다","mcla****","2020.09.11. 16:02","10","웹툰으로 봤을때 첨 오열한 부분이 송이뿐 할머니의 과거 고백씬이었다. 이뿐이 할머니 어린 나이에 딸을 보내고 지금까지 혼자 사시면서 그동안 삶이 얼마나 고단했을까를 떠올리니 울컥. 영화는 이제야 보았지만 송재호 김수미님의 결말을 이미 알고 있기에 영화 보는데 처음부터 주체할 수 없이 슬픔이. 연출 훌륭했으며 ...","4","1"
"그대를 사랑합니다","o_ra****","2017.05.30. 05:03","9","이 세상에 호상이란것은 없다.","5","2"
"그대를 사랑합니다","gjw0****","2013.01.07. 03:38","10","두 인연이 함께 하는 모습은 그냥 가슴을 먹먹해지게 만든다 인생의 끝자락에 다다른 사랑은 의외로 더욱 아름다웠다 이상하게도 행복한 장면에서도 눈물이 멈추질 않았다 그 행복이 사라질 순간을 내다보는 어리석음때문이다 부디 그 순간을 그대로 즐길 수 있길","5","2"
"그대를 사랑합니다","altn****","2023.12.03. 22:37","10","부모님을 생각하게되고  앞으로 제인생이기도하겠지요 소중함을느끼며 살아야겠어요 너무 따뜻한 영화였어요","2","0"
"그대를 사랑합니다","hyuk****","2023.10.20. 23:10","10","무빙이 흥하면서 강풀작가님 작품들 하나씩 보다가 여기까지 오게되었습니다 웹툰에서 나오는 소소한 내용들이 빠지긴 했지만 전체적인 감동은 변함이 없네요 너무 잘봤습니다","2","0"
"그대를 사랑합니다","dudr****","2013.02.10. 10:33","10","많은 사람들이 감동을 해서 평점이 이렇게 된 것이죠. 자기 생각에 안좋다고 영화를 비방해야 하나요. 전 무척 감동적이었어요.","2","0"
"그대를 사랑합니다","reco****","2023.09.15. 21:16","10","잊고 살았던 명작품인데 디즈니플러스 무빙덕에 생각났어요. 원작도 명작이고 영화도 명작이고 원작도 영화도 엔딩에선 진짜 너무 슬펐다는 ㅠㅠ 그 서사를 다시 느끼고 싶은분들은 티빙 가보시면 영화 있으니 참고하셔요 저는 지금 티빙에서 영화시청 하러 갑니다ㅠㅠ","3","1"
"그대를 사랑합니다","warg****","2023.08.03. 19:36","10","눈물이 핑도는 그런 영화입니다 연기력들이 대단하셔서 그냥 빠져들고요","3","1"
"그대를 사랑합니다","ohmy****","2022.03.03. 23:15","10","초반에는 깔깔 웃었지만 점점 지날 수록펑펑 울게되는 영화네요.. 엄마랑 보다가 둘이 끌어안고 펑펑 울었습니다..인생영화가 될것 같네요 꼭 보세요..3번 보세요..","3","1"
"그대를 사랑합니다","0324****","2020.11.08. 19:19","10","소식 듣고 왔어요 송재호님 여기서 팬 됐었는데 편히 쉬소서..","3","1"
"그대를 사랑합니다","ssen****","2019.06.10. 03:52","10","우린 가족에서 다시 부부였다 ...","3","1"
"그대를 사랑합니다","rnjs****","2013.07.19. 23:37","10","너무 감동적이고 할머니와할아버지의 사랑이 너무순수해서.....","3","1"
"그대를 사랑합니다","ho2h****","2013.07.15. 14:08","10","내 기억에 영원히 남을 영화한편이 될것 같습니다.","3","1"
"그대를 사랑합니다","suha****","2013.07.04. 16:07","10","감동적이고 재밌어요~ㅠㅠ","3","1"
"그대를 사랑합니다","we84****","2019.05.17. 11:35","10","당신은 주기만하고 나는 받기만했잖아요 근데 어떻게 내가 또..ㅠ","4","2"
"그대를 사랑합니다","rkdw****","2018.12.16. 00:36","10","우연히 본 수작.. 왜이제봤을까","4","2"
"그대를 사랑합니다","rudw****","2024.06.02. 21:45","10","츤데레 만석아찌ㅠㅠ지극히 현실적이라고 봄나이불문하고 넘나 ..마음 자체가 로맨스대놓고 표현못하는 츤데레 만석아찌사랑받으며 성장하지도 못하고 사랑을 느끼며 결혼 생활을 하지도 못하며 아이또한 너무 아프게 보내며..  ㅠㅠ 암튼 사랑이라는걸 너무 제대로 받아보지를 못한 송씨~~~ 송이뿐~~~송씨 ㅠㅠ 보는 ...","1","0"
"그대를 사랑합니다","yeoe****","2024.05.11. 22:54","10","넷플릭스로 오랜만에 다시 본 영화입니다 .. 극장에서도 많이 울었던 기억이 있는데 오랜만에 보니 또 눈물이 나네용 ..ㅜㅜ이순재 선생님 연기도 물론 너무너무 좋구송재호 선생님의 연기에 정말 많은 눈물을 흘렸어요 .. ㅠㅠ언제봐도 감동적일 것 같은 영화입니다 ..!ㅠㅠ","1","0"
"그대를 사랑합니다","skys****","2024.05.11. 02:53","10","이렇게 아름다운 영화가 몇편이나 될까요!펑펑 울면서 눈물 흘리고 싶은 분들 강추입니다.","1","0"
"그대를 사랑합니다","bobo****","2024.05.10. 05:50","10","이순재 선생님은 정말이지..연기로 진한 감동을 주신다..","1","0"
"그대를 사랑합니다","yjjj****","2024.05.06. 21:15","10","숨막히게 슬프다..눈물이 나서 숨막혔다..이젠 이런영화 안나오겠지","1","0"
"그대를 사랑합니다","lym7****","2024.05.06. 18:19","10","아름답고 눈물나는 마음이 뭉클한 영화...","1","0"
"그대를 사랑합니다","heey****","2024.05.06. 00:05","10","부모님이 같이 보셨음 ...하는 영화입니다~너무 감동이고 슬펐어요","1","0"
"그대를 사랑합니다","tnru****","2024.05.05. 21:25","10","코미디에 감동에 펑펑울었네요. 소소함이 주는 행복을 느끼고 마음이 따뜻해지는 영화였어요. 배우님들 연기 정말 최고세요!","1","0"
"그대를 사랑합니다","2020****","2024.03.22. 02:13","10","우연히 발견한 보석같은 영화였습니다...10년도 더 전에 이런 영화가 있는지 몰랐어요 잔잔하고 편안하게 몰입하면서 봤네요 이것저것 많은 생각도 들게 하는 영화 같습니다.","1","0"
"그대를 사랑합니다","go93****","2024.03.02. 09:27","10","너무나 가슴 뭉클한 이야기..꼭 보세요","1","0"
"그대를 사랑합니다","yoyo****","2017.07.05. 01:54","10","가슴이미어지도록 슬픈영화를 찾으신다면 보세요","1","0"
"그대를 사랑합니다","solj****","2017.07.01. 13:53","10","노부부의 사랑을 진솔하고 담백하게 그려내 감동이 더  와닿았던것 같다.. 참 좋은 영화","1","0"
"그대를 사랑합니다","elvi****","2017.01.15. 02:18","10","진짜 여친이랑 둘이서 엉엉울어버렸다. 진짜 왤케 가엽고 안타까운지. 공무원에게 상차려 줄때 떨리는 할머니 목소리 듣고 진짜 눈물이 넘쳐 흘러서 주체가 안됬다","1","0"
"그대를 사랑합니다","quf7****","2015.12.11. 13:13","9","지루할 수도 있는데 지루한게 아니라 잔잔한거임 굳이 이런 영화가 박진감 넘치고 손에 땀쥐고 볼 필요없잖아ㅠㅠ 생각나는 사람 얼굴도 떠올려보고 잔잔하게 보면서 호흡하기 좋은 영화라고 생각함","1","0"
"그대를 사랑합니다","dldb****","2015.11.17. 12:55","10","그대를 사랑합니다...","1","0"
"그대를 사랑합니다","ink_****","2015.10.28. 23:05","10","다시 봐도 감동적인 영화임 진짜...","1","0"
