,word,weight
895,잔잔한 추천합니다,3
896,잔잔한 잘봤어요,3
897,잔잔한 보는내내,3
898,잔잔한 영화입니다,3
899,잔잔한 가족,3
900,잔잔한 슬픔,3
901,잔잔한 영화는,3
902,잔잔한 좋았습니다,3
903,잔잔한 반전이,3
904,잔잔한 보기,3
905,잔잔한 사랑의,2
906,잔잔한 사랑,2
907,잔잔한 사랑하는,2
908,잔잔한 모든,2
909,잔잔한 나도,2
910,잔잔한 영화네요,2
911,잔잔한 영화가,2
912,잔잔한 연기력이,2
913,잔잔한 영화다,2
914,잔잔한 스토리가,2
915,잔잔한 감동도,2
916,잔잔한 보면,2
917,잔잔한 생각하게,1
918,잔잔한 레이첼,1
919,잔잔한 사랑을,1
920,잔잔한 미래,1
921,잔잔한 아름다운,1
922,잔잔한 잔잔하게,1
923,잔잔한 가족의,1
924,잔잔한 작품,1
925,잔잔한 배우의,1
926,잔잔한 마음이,1
927,잔잔한 감독의,1
928,잔잔한 집중해서,1
929,잔잔한 소중함을,1
930,잔잔한 봐도,1
931,잔잔한 연기는,1
932,잔잔한 담담하게,1
933,잔잔한 알츠하이머,1
934,잔잔한 연기,1
935,잔잔한 줄리안무어의,1
936,잔잔한 가족과,1
937,잔잔한 부모님과,1
938,잔잔한 반전,1
939,잔잔한 노트북,1
940,잔잔한 마지막에,1
941,잔잔한 한번,1
942,잔잔한 생각보다,1
943,잔잔한 남는,1
944,잔잔한 감동적인,1
945,잔잔한 슬픈,1
946,잔잔한 반전도,1
947,잔잔한 오랜만에,1
948,연기 최고,39
949,연기 좋았어요,39
950,연기 진짜,36
951,연기 좋았습니다,25
952,연기 좋아요,22
953,연기 스토리,19
954,연기 연기,17
955,연기 눈물,16
956,연기 역시,13
957,연기 마지막,8
958,연기 연기도,8
959,연기 많은,8
960,연기 좋은,7
961,연기 영화가,7
962,연기 연기가,6
963,연기 보면,6
964,연기 내가,6
965,연기 남는,6
966,연기 잘봤습니다,6
967,연기 드라마,5
968,연기 가슴,5
969,연기 다시,5
970,연기 보세요,5
971,연기 완전,5
972,연기 나도,5
973,연기 안소니,5
974,연기 감동,4
975,연기 모든,4
976,연기 눈이,4
977,연기 감사합니다,4
978,연기 최고의,4
979,연기 많이,4
980,연기 재밌게,4
981,연기 펑펑,4
982,연기 영화를,3
983,연기 보면서,3
984,연기 배우들의,3
985,연기 보기,3
986,연기 영화는,3
987,연기 사랑에,3
988,연기 작품,3
989,연기 만드는,3
990,연기 이야기,3
991,연기 가장,3
992,연기 담담하게,3
993,연기 기억을,3
994,연기 줄리안,3
995,연기 슬프네요,3
996,연기 봐도,2
997,연기 배우의,2
998,연기 생각보다,2
999,연기 가슴이,2
1000,연기 기억이,2
1001,연기 마지막에,2
1002,연기 알츠하이머,2
1003,연기 배우들,2
1004,연기 슬프고,2
1005,연기 반전,2
1006,연기 연기는,2
1007,연기 감동을,2
1008,연기 볼만한,2
1009,연기 추천합니다,2
1010,연기 잔잔하게,2
1011,연기 보았습니다,2
1012,연기 사랑의,1
1013,연기 오늘을,1
1014,연기 슬프지만,1
1015,연기 아름다운,1
1016,연기 영화입니다,1
1017,연기 엄마,1
1018,연기 생각해보게,1
1019,연기 홉킨스,1
1020,연기 홉킨스의,1
1021,연기 재밌어요,1
1022,연기 현실적인,1
1023,연기 관람했습니다,1
1024,연기 슬프다,1
1025,연기 잘봤어요,1
1026,연기 미래,1
1027,연기 여운이,1
1028,연기 말이,1
1029,연기 생각을,1
1030,연기 진정한,1
1031,연기 나는,1
1032,연기 생각하게,1
1033,연기 부모님,1
1034,연기 기억은,1
1035,연기 감독의,1
1036,연기 놀란의,1
1037,연기 가족,1
1038,연기 기억의,1
1039,연기 앨리스,1
1040,연기 기억,1
1041,연기 다시한번,1
1042,연기 마음이,1
1043,연기 감동이,1
1044,연기 슬픔,1
1045,연기 스토리가,1
1046,연기 보는내내,1
1047,연기 로맨스,1
1048,연기 가족의,1
1049,연기 사랑은,1
1050,연기 반전이,1
1051,연기 노트북,1
1052,연기 사랑,1
1053,연기 엄마랑,1
1054,연기 가족이,1
1055,연기 잔잔하고,1
