"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"메멘토","rmsi****","2014.11.24. 08:23","6","기대한만큼은 아니였지만 역시 놀라웠던 영화","2","5"
"메멘토","yall****","2014.11.22. 16:47","7","기억...의도한왜곡인줄도모르는기억인지줄도모르는기억...","2","5"
"메멘토","dere****","2014.12.22. 14:47","10","기억에 관한 찬란한 변주곡","4","7"
"메멘토","kwon****","2014.12.09. 02:00","8","2000년 작품이라는것을 잊고 너무 기대하고 추리하려고 노력했던게 화근.","0","4"
"메멘토","real****","2014.12.31. 16:10","10","초반 대사에 나온 인셉션이란 단어가 귀에 확 들어온다","1","5"
"메멘토","neou****","2015.02.01. 11:51","10","나름 재밋엇어요 ㅋ 나의별점은?","0","5"
"메멘토","iams****","2016.02.09. 14:20","10","언제봐도 최고의 영화다","2","8"
"메멘토","read****","2015.03.01. 22:29","5","작품성과 기발함 시나리오의 번뜩이는 아이디어 연출의 싱선함 모두 대단하지만 지극히 개인적으로 지루했음.","10","17"
"메멘토","gmle****","2016.08.09. 12:38","8","속고속이고 의심하고마지막까지 어떻게되는거지??싶은 그런영화 ㅋㅋ","8","18"
"메멘토","am2t****","2014.11.22. 19:02","5","머리 아프게 하는 스토리 구성줄거리 안 읽어보고 영화 보면 뭔 얘긴지 이해 못 할듯","1","16"
"메멘토","tndl****","2016.04.16. 18:56","5","별로 10자10자10자","15","41"
"메멘토","pks9****","2016.09.23. 12:33","7","연이끼리 같이 보기 좋은 영화같아요. 재미도 있고그동안의 시간을 다시한번 생각하게되는 그런영화","6","65"
