username,date,rating,review,likes,dislikes
jiin****,2020.11.06. 00:47,10,인생이 무엇인지 좀씁쓸합니다~,8,1
flyd****,2016.11.04. 13:16,10,엘리가 너무 예쁘게 나온 영화. 노아도 약혼자도 멋지지만. 볼수록 눈물나는데 30번은 본 인생영화임. 잊지못할 대사도 많고 여운이 많이 남아요. 요즘도 그렇게 수순한 사랑이 남아있는 시대였으면 얼마나 행복했을까...,6,0
elou****,2016.10.26. 20:31,10,네 엄마가 있는 곳이 내 집이야단연 최고 입니다!!,6,0
chld****,2017.01.15. 02:08,10,재개봉한 영화중 인생영화 찍은듯!!,7,1
supo****,2016.11.16. 11:35,10,명불허전 아름다운첫사랑의 고전,7,1
kyou****,2016.11.05. 20:11,10,정말 감동적인 영화 네요 보면서 울엇어요,7,1
shlo****,2016.10.31. 07:33,8,첫사랑같은 영화 노트북 다시봐도 감동이였어요,7,1
fell****,2020.11.16. 14:06,9,뻔한 사랑이야기같지만 뻔하지 않은 사랑과삶에 관한이야기,8,2
love****,2017.02.20. 16:16,10,아름다운영화입니다.즐거웠어요,8,2
tiny****,2017.02.12. 15:51,10,진짜 재미있었음 또 보고 싶다 여자 주인공 매력이 넘친다,8,2
kosi****,2016.11.17. 21:50,10,두 남녀의 감동적인 사랑눅구나의 가슴에 갖고있는 꿈같은 사랑,8,2
back****,2016.11.12. 11:02,10,"다시봐도 역시 좋네요. 어려서 연애할때 봤을때랑 지금은 또 다른 느낌이에요. 하이틴 스타 느낌은 두 배우도 지금은 멋진 헐리웃 스타가 됐네요. 리멤버 타이탄에서의 어린 라이언 고슬링, 더 페밀리 스톤에서의 어린 레이첼 맥아담스도 다시 찾아봐야겠어요.",8,2
alsg****,2017.03.08. 15:14,10,인생영화 등극~!~!~!,9,3
ghwn****,2016.10.31. 00:13,10,보면서 같이 행복해지는 영화,9,3
jung****,2016.10.23. 21:57,9,40 중반에 주책맞게 영화를 보면서 눈물을 흘렸네.,9,3
dohw****,2016.10.25. 22:34,10,"랩탑 노트북인줄만알고 있었는데, 감명깊게 봤습니다. 재미와 감동이 있습니다.불륜이니어쩌고하는분들이 있는데 영화있는그대로 봐주시길 바랍니다.",21,15
ding****,2016.12.09. 18:23,9,다시금 누군가가 마음에 차오르게 만든 영화.,5,0
suny****,2016.11.12. 19:30,9,한사람을 지극히 사랑했기에 성공한 인생이라는 말을 그대로 설명해주는 멋진 영화네요,5,0
melo****,2016.11.12. 17:59,6,기대를 너무 많이하고 가서인지 무난합니다.,5,0
hoon****,2016.11.06. 11:37,10,"많은 사람들에게 추천받았던 영화, 그래서 기대가 컸던 영화. 일요일 아침잠을 포기할만큼.예상가능한 스토리였지만 기대한 것보다 훨씬 좋았다. 사랑에 대한 진정성이 느껴졌기 때문이다.제작진과 배우분들에게 감사함을 표하고 싶다",5,0
vpdr****,2016.10.24. 13:11,10,어릴때나 지금이나 세월이 지나면서 변하는건 나 뿐..영화를 보면 난 앨리 였을 때 노아를 선택할까...또 시간이 지나 다른 해에 보면 지금이랑 다른 생각을 하겠지만 ..영화가 끝나고 시간이 한참 지나도 가슴이 먹먹한...자꾸 생각나는 ...,5,0
b_si****,2016.11.05. 19:15,10,인생영화입니다 영화관 스크린에서 보니 감회가 새롭네요,6,1
ey95****,2016.11.04. 00:16,10,혼자보고싶어서 가서 봤는데 .. 진짜 다음엔 꼭 누구랑이든 다시 한번 보고싶게 만드는 영화 . 사랑에 대해 좀 더 깊게 생각하게 만들어 주었다,6,1
rlaw****,2016.10.20. 21:57,10,평생소장하고싶은 영화에요 감동입니다,6,1
wjy2****,2016.11.17. 17:35,10,세번째 보는데  감동은 여전하네요. 영원한 사랑을 그리고 그런 인생을 살수 있을까?최고입니다,7,2
ksg6****,2020.11.07. 23:19,8,개인적으로 너무감동입니다,8,3
xhdf****,2020.11.23. 01:47,10,감동과 여운이 극장 나와서도 계속됩니다.,10,5
king****,2020.11.20. 16:48,8,"진부하다고는 할 수 없으나, 예상 가능한 스토리와 감동이라 감정의 파도가 몰아치는 정도는 아니었다.배우들의 연기와 비주얼은 짜릿했음!",12,7
berr****,2020.11.22. 22:52,10,내 최애 영화를 처음으로 영화관에서 봅니다. 함께 보고싶었던 사람의 빈 옆자리와 함께 혼자 보았어요. 그사람이 이 영화를 꼭 보길 바래요. 세상에서 무엇이 제일 중요한지 깨닫길 바랍니다.,13,8
hoje****,2016.11.05. 20:13,10,잔잔히 재밌었어용 추천합니다,5,1
leop****,2016.10.20. 11:47,8,한번꼭보세요 감동있는영화,5,1
llee****,2017.02.16. 05:16,10,최고의 영화입니다 배경 배우 연기 내용 등등 빠질 거 없이 완벽한 영화라고 말하고 싶습니다,8,4
s2s1****,2016.11.06. 16:06,10,이제서야 보는데 너무 감동적이에여 ㅠㅠ,3,0
hwb4****,2017.04.14. 10:37,10,굿 아주 재밌네요 한번 더 볼래요,4,1
max9****,2017.01.15. 00:35,10,최고의 멜로영화 입니다,4,1
hjvi****,2016.11.15. 13:28,10,볼 때마다 먹먹하고 설레이는 영화,4,1
park****,2016.11.15. 12:11,10,이렇게 사랑하고싶다를 계속 느끼게해준 영화..,4,1
rlaw****,2016.11.05. 15:36,10,와ㅜㅜ슬퍼요 흑흑 앨리와 노아,4,1
goda****,2016.11.05. 15:05,9,다시보고싶은 좋은 영화였습니다,4,1
zzzz****,2016.11.05. 14:37,10,ㅠㅠ인생 영화ㅠ_ㅠㅠ,4,1
dald****,2016.11.05. 13:11,10,인생영화 감동깊게 봤어요,4,1
span****,2016.11.05. 12:32,10,ㅠㅠ 굳굳 완전 재밋어요 눈물,4,1
bin7****,2016.11.05. 12:22,10,인생작을 만났습니다~*^^*,4,1
guin****,2016.11.04. 23:30,10,재개봉해서 두 번 째 본 영화!보는 내내 너무 행복했어요. 꼭 보세요. 두 번 보세요!,4,1
s2eo****,2016.11.03. 15:25,10,재개봉해서 너무 좋았어요 ㅠㅠ 저초등학교때 개봉한 영화라 스크린으로 본건 첨이였는데 더 몰입해서 봤습니당.. 여전히 최고의영화예요,4,1
jell****,2016.11.03. 00:47,10,인생영화에요.. 진짜 역대급 명작ㅠㅠ이걸 왜 이제야 봤는지..같이 웃고 울고 너무 좋았어요~~ 몇번이고 다시보고싶어요!,4,1
okhw****,2016.10.31. 10:15,10,최고입니다-~~~~,4,1
gksw****,2016.10.21. 23:36,10,제가 가장 좋아하는 영화ㅠ 인정합니다,4,1
akfa****,2016.10.21. 22:55,9,너무좋았어요 사랑스러운영화네요,4,1
minj****,2016.10.20. 20:12,10,노트북을 영화관에서 보게 되다니....?,4,1
bess****,2020.11.20. 20:57,10,예전 영화지만 재개봉으로인해 처음봐요 ! 지루할까 걱정했는데 시간지나가는줄 모르고 너무 감동적이였어요!,5,2
bin2****,2016.11.17. 21:39,10,시간이 흘러도 변하지 않는 명작,5,2
eddi****,2017.12.17. 18:49,10,내 생애 최고의 영화 중 하나.,8,5
hswo****,2016.11.20. 12:01,10,아련한 느낌을 받은 영홥니다.,2,0
jene****,2016.11.13. 11:27,10,다시봐도 감동백배네오 강추합니다,2,0
cydl****,2016.11.13. 10:47,10,멋진 사랑 이야기~~^^^,2,0
zzzz****,2016.11.12. 21:36,10,언제봐도 뭉클합니다ㅠㅠ,2,0
hlhl****,2016.11.12. 21:36,10,인생영화! 너무 좋았어요,2,0
ehdt****,2016.11.12. 20:49,10,진실된 남여의 사랑을 본거 같네요~^^,2,0
oj68****,2016.11.12. 20:29,10,10년 뒤에 재개봉을 하도 보러 갈겁니다,2,0
some****,2016.11.12. 19:24,10,아 잼써 ~ 올만에 로맨쓰 ~,2,0
dudw****,2016.11.12. 18:19,10,여운이 많이 남는 영화입니다,2,0
