username,date,rating,review,likes,dislikes
lej0****,2017.09.08. 10:29,9,'그것' 아니면 '매혹당한 사람들' 볼려다 시간이 안 맞아서  '살인자의 기억법'을 봤어요 그냥/  아~  스토리가 정말 신선/ 미쿡 토마토지수 100% 소설이 원작이라던데 진짜 범인이 누군지 책사서 볼라합니다,32,5
tjsd****,2018.02.22. 13:28,7,김남길 잘생 ㅎ 설경구 연기 조져..ㅎㅎㅎ,26,0
xox9****,2017.09.17. 10:59,1,지루하다.. 반전을 너무 노리게 보인다계속 도돌이표,59,33
mcfe****,2017.09.08. 13:09,10,그래도 올해 본것중에 최고 아니더냐??? 영화 잘 봤어요 ~!,32,7
dlsr****,2017.09.07. 11:23,6,볼만해요 ㅋ ㅋ ㅋ김남길 섹시해.ㅠ ㅠ,42,17
wnpf****,2017.09.09. 01:50,10,설경구님의 연기가 너무 좋았습니다 그리고 김남길 님의 연기도 요즘 드라마에서 모습과 너무 다른 살인범의 연기를 정말 잘 해 주신것 같네요ㅎㅎㅎ,26,3
thop****,2017.09.07. 14:37,10,보는내내 소름의 연속이었습니다. 추천,32,9
jksj****,2017.09.08. 19:25,9,스릴러지만  재미있고  주연들의 연기가좋습니다,27,5
chee****,2017.09.07. 18:02,10,좋다좋네좋아굿굿굿열자,31,9
muns****,2017.09.07. 23:57,10,와..연기력 다들 좋으시고 심지어 여자 아역배우도 연기 엄청 잘하시더라구요 중간중간 코믹요소 넣으신것도 재밌었고 내용도 좋고 영화 재밌게 잘봤습니다 감사합니다!,24,3
red_****,2017.09.08. 21:45,10,하.. 설경구! 여태껏 쌓아온 내공을 여기에 다 쏟은 듯 하다. 원래 틱장애가 있었나 싶을 정도로. 설경구표 영화가 될 뻔했지만 김남길도 그 멍한 눈빛 장난 아니다. 끝까지 두 남자가 긴가민가 하며 스릴몰이한다. 설현도 부드럽게 스며든 연기 좋았다.,25,4
pyj9****,2017.09.08. 09:25,8,설경구씨 김남길씨 연기대결 잘 봣습니다,26,5
oiu0****,2017.09.07. 11:29,8,"설경구의 연기도 좋았지만 김남길의 눈빛과 컷 마지막에희미하게 웃는 웃음 연기가 좋습니다 몰입도는 중, 내용은 중상?",28,7
alsr****,2017.09.13. 09:57,9,김남길에게 빠져든다 . 너무 섹시하고 매력있다 믿고보는 배우 김남길,21,1
egg8****,2017.09.06. 23:03,10,보는내내 긴장을 놓칠수 없었습니다. 재밌었어요,24,4
skyl****,2017.09.07. 21:52,9,관람객의기억법.... 극장에서 확인하라,26,6
youn****,2017.09.07. 19:22,9,"음...,한번보세요",30,10
fat1****,2017.09.09. 00:22,10,재미있어요 정말 재미 있습니다,21,2
