"작성자","평점","좋아요","댓글수","리뷰"
"이정환","5.0","1","0","마지막에는 헉! 하면서 눈물이 그렁그렁해졌음"
"황우람","5.0","1","0","한편의 영화가 삶의 목적을 다시한번 생각하게 만들었다. 이거면 충분하지 않은가"
"동훈","5.0","1","0","내 인생 최고의 영화는 아마 노트북일 것이다.
이 영화를 보고 나면 아마 로맨스 영화중 최고라고 생각이 들거다."
"옌옌","2.5","1","0","솔직히, 내가 무엇을 본 건지 혼란스러웠다. 
현실적인 요소를 가미한 첫사랑 로맨스라기엔 그럴 필요가 없었고 
레이첼 맥아담스의 철 없는 부잣집 아가씨 연기는...."
"J Lim","5.0","1","0","사랑하는 사람이 있는 곳이 나의 집..
함께만나자며 같은 날 같은 곳에서 눈을 감은 두 사람..
인생영화중 하나.. 매 번 볼때마다 눈시울이..ㅜㅜ"
"백지연","5.0","1","0","진정한 사랑이 무엇인지를 잘 보여준 영화"
"자몽","3.0","1","0","니가 새면 나도 새야"
"Cold_brew","5.0","1","0","좋아좋아 후..."
"평범한사람","5.0","1","0","한사람을 변함없이 사랑할 수 있는게 불가능한 일이라고 생각했는데 이 영화를 보는 순간 가능해질 수 있는 일이라고 생각이 바뀐 영화
첫사랑이 마지막 사랑이 되는 그런 영화
한사람을 깊이 사랑해보고 싶은 부러운 영화"
"케이","3.0","1","0","론이랑 마사가 너무 불쌍하잖아"
"용수","5.0","1","0","이 영화를 본 이후로 이 배우 나온 영화만 찾아다녔었다 절대 못 잊을영화ㅋㅋ 왜냐면 까먹으면 또볼거니깐"
"꼬미꼬","5.0","1","0","인생영화.. 재개봉해줘서 고마워요ㅠㅠ"
"leak.ol","3.5","1","0","죽을 때까지 사랑하는 이야기"
"밍더디","4.0","1","0","며칠 동안 이 세계에서 헤어나오지 못하고 있음 재개봉 감사뤼"
"le_petit_g","5.0","1","0","삶의 이유가 사랑이 될 수 있다면 영화속 주인공들처럼"
"란란","3.0","1","0","유명세에 비해서 내가 느낀 감동은 별로"
"이수지","4.5","1","0","정말 영화라서 가능했지만
정말 아름다웠던 이야기.
그런데 왜 맨날 그렇게 뛰어다니시나요 ㅋㅋ"
"PiaNo","4.5","1","0","그냥 그렇고 그런 로맨스 영환데
나는 왜 울고 있는거지?"
"박선희","4.5","1","0","여자가 봐도 너무 사랑스러운 레이첼 맥아담스"
"aa","2.5","1","0","지금보니 2016년에 맞지않는 영화구나.."
"이은찬","3.0","1","0","첫장면부터 가슴 울컥해서 기대하면서 봤는데 서양식 연애사고방식인지 바람피는것도 너무 불편하고 기대를 너무많이한듯"
"신원우","4.5","1","0","슬픔 ㅜㅜ"
"세미","4.5","1","0","The scariest thing about distance is that you don't know whether they'll miss you or forget you.
""서로 떨어져 지낸다는것의 두려움은 상대가 당신을 그리워할 것인지 혹은 잊을것인지 알 수 없다는 것에서부터 나온다."""
"손우석","3.5","1","0","나 항상 그대에게 돌아갈테니
그대는 나의 집이 되어주오."
"kyungwon","3.0","1","0","의심할 겨를도 없이 그들은 진짜 사랑이었다"
"상민이","5.0","1","0","사랑에 대한 모든것"
"지수반","5.0","1","0","애절한 사랑이야기에는 레이첼의 보조개웃음이 한 몫했다. 사랑의 가치관을 굳혀준 영화. 이렇게 사랑한다면 행복하다고 말할 수 있을 것 같다. 너무너무너무너무 사랑한다♡♡♡
With 0127"
"김미림","5.0","1","0","what do u want? 
I want u."
"휘롬","3.5","1","0","기다려주길, 그때 너와의 시간들."
"yewonkim","3.5","1","0","누구나 원하지만 영화에서나 볼 수 있는 꺼지지 않는 불꽃같은 사랑. 하지만 아름답다.
추가. 글을 올리면서는 할아버지가 된 노아의 한결같은 사랑이 영화에서나 봄직하다고 생각했는데 사실 첫사랑의 기억을 가지고 노아에게 돌아간 앨리의 사랑도 나라면 못할것 같다는 생각이 들었다."
"Jin YiRang","3.5","1","0","수많은 이성적 잣대를 지나도 결국 마지막에 남는 건
follow your heart!"
"meloniab","5.0","1","0","이것이 사랑"
"박상훈","5.0","1","0","난 영화를 보며 이 영화가 계속되기를 소망했다
끝나지않았으면하곤...
노아 와 앨리 그 두남녀 의 사랑이 어쩌면
 우리모두가 꿈꿧던 사랑이아닐까 ?
그게 이 영화가 명작이라 불리는 이유다"
"최혜린","4.5","1","0","완벽한 영화라고 볼 순 없다. 내 정서와는 너무도 안 맞았기에.. 하지만 결말은 너무나 아름다웠고 영화가 끝나고도 여운이 가시질 않았다."
"소라라","5.0","1","0","찰나의 영원
/
재개봉해줘서 고맙습니다🤗
오리요트 장면은 진짜 아름다웠다
내가 탔었던 오리배랑은 비교할 수 없지만
그 때, 그 순간의 감정은 똑같았을거라 생각😎"
"시니컬킴","4.5","1","0","누구에게나.."
"꽃송이야","5.0","1","0","사랑스러움이 어떤 것인가에 대해서 알려주었던 영화"
"정영운","5.0","1","0","청소년, 청년, 장년과 노년의 (한결같은) 사랑."
"이현경","5.0","1","0","찰나의 영원함"
"하얀둥이","5.0","1","0","너무 먹먹해서 일어날 수가 없었다.
""내게 이것을 읽어주면 당신에게 돌아올게요"""
"김도경","5.0","1","0","남은 30분은 너랑 토요일날 보러갈거야👭"
"하늘","5.0","1","0","이렇게 사랑해보고 싶다"
"평안","4.0","1","0","5년만에 스크린으로 다시보니 1점을 내리고 싶어졌다. 
론과 마사에 마음이 많이 가는게 처음 볼 때와 다른 점."
"종원","5.0","1","0","약간 지루한 면이 있지만 결말이 너무 슬프다.. 앨리.."
"So Jeong Jeong","5.0","1","0","난 비록 죽으면 쉽게 잊혀질 평범할 사람일지라도
영혼을 바쳐 평생 한 여자를 사랑했으니
내 인생은 성공한 인생입니다"
"ny","3.0","1","0","왜 이 영화를 명작이라고 하는지 모르겠다.
노년 할아버지는 멋있지만 이것보다 좋은 멜로 영화는 많음"
"Ahreumbomi Byun","4.5","1","0","드디어 봤다. 극장에서 보길 잘했다. 스토리, 영상, 음악... 다 좋았다. 그냥 좋았다. 
끝나고 한참 멍-했다. 
모두의 사랑이, 안타깝고 맘 아프고.. 이제는 나름 어리지 않다고 '저런 사랑은 현실엔 없어' 싶지만 그럼에도 마음 한 구석에서는 또 '있을 수 있을지 몰라' 싶고...ㅎㅎ 
이 늦가을에 잘 어울리는 영화였다. 좋다좋다 :)"
"토빱","3.5","1","0","파란불에서 빨간불에서 다시 노란불로 
도대체 무엇을 하고 있는지 모를 호수 위 백조떼처럼"
"오군","4.0","1","1","2004년도 작품이 다시 개봉해서 1위했다라 ㅡ.ㅡ;;
국내에서의 미개봉 영화는 좋고 명작들이 많다 그걸 아는건 
내 자신이 극장파냐?? 다운파냐에 나타나겠지만 난 다운파인듯 ㅋㅋ 국내 미개봉 했던 많은 좋은 영화들을 알고 있다 극장측으로 일하는 대표들이여 나를 섭외하라 ㅋㅋㅋ"
"이준목","4.5","1","0","""첫 사랑은 잊혀지지 않아"""
"범고래","4.0","1","0","남자가 대단하네.."
"최예지","3.0","1","0","버림 받은 론은 얼마나 슬플까"
"이보람","4.5","1","0","어떤 사랑의 결실을 맺기까지
누구나 별의 별 이야기가 있겠지만,
노년에 그 사랑을 추억하며 뒤돌아 보았을 때
아름답지 않은 사랑이 어디 있을까?
라이언 고슬링이 그닥 끌리지 않는 캐스팅이라..
레이첼 맥아담스의 아름다움이 더욱 부각되었던 것 같다."
"이주현","2.0","1","0","자살 협박으로 데이트 따내는 것부터 낭만이 무너져서 집중이 안 됐다.."
"김혜진","5.0","1","0","좋아요! 감동적이고 여운도 남고"
"정성만","5.0","1","0","최고예요!"
"져니","4.0","1","0","실화라서 더욱 먹먹함"
"RyuGiHyeok","5.0","1","0","말이 필요한가? 일단 봐!!!"
"미어","4.0","1","0","뻔하고 진부해서 좋다
레이첼 맥아담스의 마스크는 문화유산감이다"
"아연","5.0","1","0","우리의 사랑은 마치 소설 한 권"
"Agnes Chae","5.0","1","0","아무 말도 필요없이 최고의 영화. 이렇게 사랑하고 싶다!"
"Minyoung Kim","4.0","1","0","노트에적힌 한단어 한단어 같이 여운이 자국이
차분하게 쌓인다"
"신시바","4.0","1","0","완전 미쳐버리는 사랑이 예쁘고 부러웠지만, 인간적으로 약혼 반지는 빼고 다른 남자랑 사랑을 나눠야지! 하지만 레이첼 맥아담스의 미소는 모든 걸 용서하게 한다..."
"이월","5.0","1","0","제임스 스콧 범가너를 추모하며.
""우리의 사랑이 우리를 같은 날 데려가줄 수 있을까요?""
재개봉한 이 영화를 보고 싶었지만 미루고 미루다가 오늘 보았다. 다른 많은 분들이 좋은 영화평일 많이 써주셨을테니 이 영화를 보면서 기억에 남았던 대사 하나로 이 영화평을 대신 하도록 한다.
""나도 당신을 사랑해. 노아와 있을 땐 내가 나 같은데 당신과 있을 땐 내가 또 다른 나 같아.""(앨리가 론 하몬드와 이별하는 장면에서 나온 대사)"
"홍비","3.5","1","0","로맨스 보다는 용기가 필요한 사람에게 좋은 영화"
"울루","4.5","1","0","첫번째로 노트북을 봤을때는
스토리 전개에만 신경쓰느라
진짜 아름다운 장면들과 대사를 보지못하고 
비판적으로만 생각했는데 
두번째 오늘 노트북을 봤을때는
세상에서 최고로 가치있는 것을 알고있는
노아와 앨리가 눈물나게 부러워졌다"
"Taeeun Tj Kim","4.0","1","0","행복한 인생이란?
선택은 당신에게"
"개빵끗","5.0","1","0","지존 슬펏던 첫사랑 이야기"
"하얀족제비","5.0","1","0","2016.10.31"
"채울","5.0","1","0","나는 온 마음과 영혼으로 한여인을 사랑했고, 
그것만으로 나는 여한이 없다
우린 원래 예전에도 이렇게 싸웠잖아. 쉽지않고 많이 어렵겠지. 매일이래야 할지도 몰라. 그래도 괜찮아. 네 모든걸 원하고 매일 같이있고 싶으니까"
"박태원","3.0","1","0","주인공들의 가치관이 맘에 안 든다 좋지않은 일을 미화한 느낌 스토리가 맘에 안들뿐 영화는 잘만들었네"
"조릴라","5.0","1","0","아름답다"
"유라","3.0","1","0","전반적으로 과한 감정 표현"
"김지윤","5.0","1","0","네가 새라면 난도 새야.
노아의 앨리에 대한 사랑은 내리사랑과도 같았다.
.
믿고보는 레이첼 맥아담스!
그녀의 사랑스러움이 극에 달하는 영화였다.
.
앨리가 잠시 기억을 찾았을 때에는 항상 노아가 곁에 있었고 그런 사람이 있다는게 부럽고 짠했다.
불타는 사랑과 그 끝의 애절한 사랑 이야기를 모두 감아낸 최고의 영화였다!
.
내 최애 영화
100번 볼꺼야"
"최원택","5.0","1","0","Noah: I am nothing special; just a common man with common thoughts, and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten. But in one respect I have succeeded as gloriously as anyone who's ever lived: I've loved another with all my heart and soul; and to me, this has always been enough."
"전동우","5.0","1","0","토를 달 수 없는 영화..."
"김정욱","5.0","1","0","최고의 한가지, 가장 중요한 한가지"
"성해","5.0","1","0","its us. its us."
"문엄지","3.5","1","0","진짜 별로인 남주와 공감안되는 러브스토리에도 불구하고
너무 사랑스러운 레이첼 맥아담스에 3.5라도 드림"
"최지웅","3.0","1","0","2004년 개봉당시에 봤더라면 별하나 더 줬을까?
#나이먹고보니 so so"
"오아린","5.0","1","0","네가 새라면 나도 새야"
"지현선","5.0","1","0","너라서 행복해"
"백우현","5.0","1","0","사랑하라, 단 한번도 상처받지 않은것처럼"
"김망건","5.0","1","0","최고의 사랑은 영혼을 일깨우고 가슴에는 열정을 마음에는 평화를 가져다주지. 나는 너에게서 그걸 얻었고 너에게 영원히 주고싶어."
"윤소현","5.0","1","0","한평생 이렇게 누군가를 뜨겁게 사랑할 수 있다는 것이 얼마나 아름다운것인지에 대해 생각하게 되었다.
가슴이 먹먹해지기도 뜨거워지기도 했던 영화.📽"
"김승규","5.0","1","1","닥터 스트레인지 조조로 볼라고 영화관 왔는데 매진되서 비슷한시간대에 한 조조로 본 영화 연애 하려면 매우 빡시게 해야하는구나 싶었다 엔간한 용기가 아니라면 남자 주인공처럼 구애하기 쉽지 않았을듯 마지막 부분은 뻔한 이야기었지만 겁나 눈물콧물 질질새면서 봤다 굳굳"
"김은채","5.0","1","0","노트북 재개봉! 
로맨스 영화의 정석, 뻔하지만 뻔한 로맨스 영화가 보고싶은 때가 종종 있는데 그때마다 생각나는 영화. 
여주가 너무 예쁘다...!!"
"부숭","5.0","1","0","가야겠어. 비가올 것 같아."
"은정민","3.5","1","0","당신과 있을때 나는 다른 나인것 같아. 하지만 그 사람과 있으면 진짜 내가 돼."
"이은성","5.0","1","0","함께 있을 때 가장 나답게 만들어 주는사람"
"양영석","5.0","1","0","첫사랑만큼 애절하고 순수한 사랑이 있을까"
"최강타","5.0","1","0","갓이첼아담스...젊었을때의 사랑도 가슴저미지만 노년일때의 사랑또한 가슴을 울린다"
"가드래곤","3.5","1","0","""노아랑 있을땐 내가 나인데, 너랑 있을땐 내가 다른 사람이 돼"""
"성선빈","5.0","1","0","재개봉해서 방금 보고 나오는 길. 언제봐도 둘의 사랑이 기적을 만들어낸 마지막 장면은 아름답다."
"이서연","5.0","1","0","재개봉 해서 보게 된 영화 -
여주인공은 사랑스럽고 남주인공은 남자답다 :)
남자친구와 꼭 같이 보고싶은 영화.
서로여서 사랑해주고, 사랑 받는 것이 얼마나 좋은가
게다가 요즘 재즈랑 피아노에 빠진 나에겐 나오는 노래도 최고였음 !"
"황유경","5.0","1","0","감동적임"
"bbo","5.0","1","0","내리는 비처럼 살며시 다가와 살포시 스며드는.."
"채채","3.0","1","0","'그럼에도 불구하고' 
난 너야,너 뿐이야라고 말하는 것 같은 영화."
"강승욱","4.5","1","0","원래 4점이지만 레이첼 맥아담스 때문에 0.5점 가산"
"이하린","4.5","1","0","쏘 스윗가이...💕"
"영화책","2.0","1","0","그들의 풋사랑이 질투나도록 부럽다"
"유화정 뀨","5.0","1","0","아직도 사랑이 뭔지 몰라 밤새 울며 뒤척이는 나에게
너만 그런 게 아니라고 토닥여주는 노아.
""별똥별 같은 사랑으로
천상에서 내려온 눈부신 별빛과 같죠..
잠깐 영원성을 발하다가, 눈 깜짝할 새 사라지죠.."""
"이음","5.0","1","0","네 엄마가 내 집이야."
"송희","5.0","1","0","""If you're a bird, I'm a bird."""
"지이","5.0","1","0","네가 새가 되면 나도 새가 될게."
"U_","5.0","1","0","최고에요!"
"mma","5.0","1","0","두번 세번을 봐도 명작은 볼때마다 느낌이 다르다. 아 노트북은 볼때마다 눈물 찔끔하게 만드는 건 똑같네"
"MinjeongKim","4.5","1","0","첫사랑, 사라질 지라도 순간 너무나 영롱하게 빛나는 별똥별 같은 것. 너랑 나는 다시 만날 수 있을까? 그때의 너와 내가 절대 인정하지 못 했던, 우리가 끝이 아니었다는 그 사실을 확인할 수 있을까?"
"박혜린","5.0","1","0","인생영화👍"
"혜성","5.0","1","0","풋사랑과 별똥별의 공통점은 최고로 찬란하지만 너무 짧다는거야"
"kcb","3.5","1","3","내 사랑 앨리에게"
"오지수","5.0","1","0","뻔할수있지만 뻔하지않았던"
"이진실","5.0","1","0","지금까지 본 멜로영화중 가장 기억에 남을 최고 영화
피곤한 상태로 봐서 중간에 졸면 어쩌나 했지만
쓸데없는 걱정이었고 엄청난 몰입도로 영화에 집중했다.
장면, 대사 모두 아름답고 감동적이며
영화 맨 마지막 장면만 생각하면 계속 눈물이 나왔다.
- 그리고 앨리역을 맡은 배우가 너무 매력적이여서 찍은 영화를 살펴봤는데, 어바웃타임 주연이였다니ㅋㅋ"
"연정","5.0","1","0","'최고의 사랑은 영혼을 일깨우고 더 많이 소망하게 하고
 가슴엔 열정을 마음엔 평화를 주지
 난 네게서 그걸 얻었고.. 너에게 영원히 주고 싶었어'"
"김희준","4.5","1","0","사랑은 사람을 멍청하게 만든다"
"구민석","4.0","1","0","사랑이 비현실적인 판타지더라도, 그걸 믿는 사람들은 이루어내질 않나. 우린 그저 사랑을 믿지 않을 뿐.
믿을 자신이 없거나, 믿을 준비가 안 돼서."
"이윤근","4.0","1","0","12살이 더 먹어서 다시봐도 감동적인 영화...건축학 개론의 원조격인 영화...
이토록 아름다운 자연속에서 어찌 사랑하지 않을 수 있으랴..."
"해나","4.5","1","0","클리셰를 아름답게 만드는 건 배우들의 비주얼"
"박유란","5.0","1","0","너무 사랑스러운 레이첼 맥아담스."
"고정규","3.5","1","0","난 오직 그댈 사랑하는 마음에 바보같은 꿈꾸며
이룰 수 없는 저 꿈의 나라로 길을 잃고 헤매고 있어
그러나 우리들 날지도 못하고 울지만 사랑은 아름다운 꿈결처럼
고운 그대 손을 잡고 밤하늘을 날아서 궁전으로 갈 수도 있어.
<이문세 - 깊은 밤을 날아서> 中에서"
"뚜둥이","3.0","1","0","다시 개봉한 영화라 괜히 기대해봤다
영상은 이쁘지만, 이해가 됐다 안됐다 했던 사랑이야기"
"미란","4.0","1","0","“She is my home”

16.10.20 신림 롯데시네마, 재개봉 관람"
"_P","2.5","1","0","뻔하고 단절적인 전개가 감동을 이끌어내진 못하고 지루함만 유발한다."
"key","4.0","1","0","멜로여신 레이첼 맥아담스. 더 무슨 말이 필요하랴!"
"Yoon","4.0","1","0","현실과 다르나 마음이 아픈건 현실속의 누군가를 떠올리게 하기에."
"황지현","평점 없음","1","1","상실될 수 없는 첫사랑의 애틋함,
일생 한 사람을 품은 순수함,
마지막 순간까지도 노아와 앨리는 함께였다.
어느 하나가 잃어도 남은 하나가 기억하는 것,
연인의 사랑이 상실될 수 없는 이유다.
30년 후, 40년 후에도 ...."
"김태경","5.0","1","0","'최고의 사랑은 영혼을 일깨우고
더 많이 소망하게 하고
가슴엔 열정을, 마음엔 평화를 주지
난 네게서 그걸 얻었고
너에게 영원히 주고 싶었어
사랑해 언젠가 다시 만나'"
"오주환","3.5","1","0","과정은 낡았을 지언정, 결과는 아름다웠다."
"제트원","1.0","1","0","볼수록 불쾌함"
"Kay E","2.0","1","0","너무나 많은 이들이 인생의 로맨스 영화라고
꼽아주셔서 호기심에 보았다
사람마다 취향이 다 각각 이란걸
다시 느꼈다"
"아리닝","4.0","1","0","노트북이 이 노트북인 줄 알았으면 진작 볼 걸
나는 그 노트북인 줄 알고 안 봤는데 
결국 눈물 한 바가지 쏟아냈다
개연성이고 나발이고 그냥 아무 생각 없이 가슴 찌릿하게 만드는 노년의 마지막은 그냥 아름답다"
"유느","4.5","1","0","누구나가 꿈구던 그런사랑, 그런여자"
"LeeCh","3.0","1","0","혼잡하고 공감이 안되는 감정선. 마지막에 할아버지가 흘린 눈물만이 빛난다.
다소 과대평가된 멜로영화가 아닐까.."
"예똥","4.5","1","0","레이첼 맥아담스에게서 눈을 떼지 못했다"
"영화보는 치즈태비","5.0","1","0","어울려서 적는 시.
내가 어렸을 때 할머니가 돌아가셨다
할머니는 시골 어느 공원묘지에 묻혔다
이듬해 나는 방학을 이용해
그 근처 친척 집에 갔다
우리가 탄 차가 할머니가 잠들어 계신 
묘지 입구를 지날 때였다
할아버지와 나는 뒷자석에 함께 있었는데
할아버지는 우리가 아무도 안 보는 줄 
아셨는지 창문에 얼굴을 대시고 
우리들 눈에 띄지 않게 가만히 손을 흔드셨다
그때 나는 사랑이
어떤 것인지 처음 깨달았다
이정하, <참 사랑의 모습>"
"JWB","3.0","1","0","로맨티시즘을 무기처럼 휘두르는 멜로영화."
"신원이","4.5","1","0","눈빛에서 사랑이느껴지다니..ㅠㅠ꿀떨어진다.. 너가새라면 나도 새야"
"임도균","3.0","1","0","한국 드라마 보는거같은데...
""넌 뭘 원해"" 라는 대사가 참 맘에들었다"
"kroJH","4.0","1","0","그저 부럽다.."
"김은정","3.5","1","0","나도 누군가를 저렇게 미친듯이 사랑할수 있으면 좋겠다
여주선택과는 별개로 노아와 엘리의 행복하고
순수했던 어린시절 사랑이 예뻤다..!"
"채교선","5.0","1","0","진실된 사랑하나면 뭐든지 가질 수 있다. 죽음앞에서도"
"Amber Kim","4.5","1","0","사랑 얘기도 사랑 얘기지만 내가 원하는 것이 중요하다고 깨알같이 알려준 영화..."
"Astell","4.5","1","0","기억을 잃은 사랑하는 이에 대한 사랑은 흔한 소재라고 생각했다.
그런데 문제는 그걸 너무 아름답게 표현했다는 점이다.
너무 잔인한 엘리, 너무 멋있는 노아. 
그 누군가에게 노아가 되는 일처럼 아름다운 일이 있을까."
"헵번공주","5.0","1","0","처음 만난 날 부터..죽는순간까지 늘 함께였고.. 서로 사랑할 수 밖에 없었던 아름다운 연인의 러브스토리~!^^*"
"임시은","5.0","1","0","정말 아름다운 영화,
평생을 함께하는 아름다운 사랑  감동적이고 뭉클하다."
"여신님","4.5","1","0","말이 필요없는 최고의 사랑영화!!
단지, 저 포스터는 봐도봐도 아쉽다 ㅠㅠ"
"김민경","5.0","1","0","시간이 흘러도 변하지 않는 사랑에 난 약하다.
존재할까 의심하면서도."
"Mingyu Kim","4.5","1","0","what is love?"
"예 인","4.0","1","0","백조 부분 영상이 참 멋졌다. 많이 기대하고 본 영화라 그런지 스토리가 좀 아쉽다."
"박현우","4.0","1","0","조건이 아닌 마음으로 하는 사랑..낭만적이다!"
"김대희","4.5","1","0","언제까지고 너와 함께이고 싶다."
"299792458","3.0","1","0","실화라는 점이 흥미롭긴 하지만 영화 자체만 놓고 보면 별로였다"
"로그라인","4.0","1","0","가슴언저리가 쓰라린다. 올바른 표현
애가 탄다. 표현"
"박서영","5.0","1","0","분명 15센데 왜....?"
"안윤아","3.0","1","0","기대를 잔뜩 하고봐서인지 기대보다는 별로. 하지만 레이첼 맥아담스는 정말 사랑스럽고 예쁨. 앨리를 연기하는 그녀의 매력이 젊은시절 그들의 아름다움의 90%는 차지하는듯. 젊은시절보다 노년시절의 두 주인공의 사랑이 더 멋있었다. 앨리는 할머니가 되서도 사랑스러웠음ㅠㅠ"
"roS2y","3.5","1","0","내가 이걸 보고 약간 주걱턱의 매력에 빠졌었지. 라이언 고슬링의 매력과 그냥 답없이 예쁜 레이첼 맥아담스의 비현실적 동화같은 첫사랑 로맨스. 
비현실적이더라도 조금은, 아니 꽤나 바라는 -갓20살의 내가. (당시는 별점5점)
-
얼마전에 다시 보니 모르겠더라, 사랑이라는 이름으로 사랑하는 다른 이에게 상처를 주는 것이 미화되는 것 같고 감정이입이 되지 않아 그닥이었다. 몇년 새에 나에게 무슨 일이 일어난건지 모르겠다만 이때에도 라이언 고슬링은 경적을 울리는 캐릭터였단 걸 깨달았다."
"JiYongPark","1.5","1","0","ㅎㄷᆢ지나간 사랑. 그리고 그리움"
"문노을","2.5","1","0","너무 뻔하잖아"
"chop","3.5","1","0","난 아무리봐도...신동엽이 보여..."
"뭉치럽","4.0","1","0","매일 죽도록 싸우겠지만 사랑하니까 기꺼이 할래"
"¥$¥","3.5","1","0","포스터보고 미루고 미루던 영화를 보고난 후, 늦게 본 것을 후회했다. 한 사람을 맹목적으로 사랑한다는 것이 가능할까 라는 물음에 실화라는 답을 준."
"Poser772","4.5","1","0","어릴적 영원한 사랑은 없는걸까? 라는 
의구심을 가졌을때 
PC방에서 우연찮게 보게된 후 한번도 느껴보지못한 기분과 
사랑에 대한  확신을 주었다
내 인생 최고의 멜로영화"
"kh3","4.5","1","0","작위적인 사랑임에도 그토록 아름다울 수 있는지"
"양쁘나","3.0","1","0","차라리 다시만나지 못했더라면"
"두두","4.0","1","0","레이첼 맥아담스가 정말 예쁨과 동시에 예상 가능한 반전(?)에도 불구하고 '정열적인 사랑'이 뭔지 알려주는 영화."
"김철순","3.0","1","0","뻔하긴 하지만 넘치는 사랑의 기운
백조씬은 동화같다"
"이젼","2.0","1","0","레이첼맥아담스때문에 끝까지 봤지만 개인적으로 지루했음.나중에 다시보면 뭔가 감회가 새로울지도."
"배현지","3.0","1","0","앨리와 노아의 열렬한 사랑만으로 바라보기엔 이해가지 않는 부분이 많았던 영화. 너무 기대했나 보다."
"지효","4.5","1","0","레이첼이 너무 사랑스럽다..약혼자는 안됐지만 둘 만의 사랑만 놓고 보면 완전 달달하고 절절한 러브스토리~"
"Jisong Kim","4.0","1","0","""네가 원하는게 뭐야?""  
노아가 앨리에게, 그리고 지금의 나에게.."
"Junkies","5.0","1","0","그냥 좋다 레이첼"
"김세경","4.0","1","0","앨리가 노아를 기억하는 마지막 장면의 여운이 강해서, 스탭롤을 오랬동안 멍하니 보고만 있었어요. 
자신의 감정을 속이지 않고 노아를 선택한 앨리는 충분히 행복할 자격이 있는 사람이라는 생각이 들었고, 자신의 사랑을 지키기 위해 최선을 다하는 노아를 보면서 동경과 제 가슴속에 열정이 아직은 살아있다는걸 느꼈어요.
그리고 노아를 쿨하게 떠난 마사 쇼에게 감정이 이입되서 마음이 아프네요. 마지막으로 '목공을 하는 남자는 멋있구나. 배우고 싶다.' 라는 생각이 드네요."
"hjlee","4.0","1","0","삶에서 사랑의 참의미가 뭘까, 회의감이 들 때마다."
"Mizle","3.0","1","0","아무것도 갈라놓을 수 없는 엘리와 노아의 사랑이 정말 아름답게 보였지만 론이 너무 불쌍했다.나아중에 죽을 때가 되면 노아와 엘리처럼 사랑하는 사람의 손을 꼭 붙잡고 떠나고 싶다."
"최민호","4.5","1","0","이토록 절절한 사랑이 다시있을까?"
"정유선","4.5","1","0","영화다운 영화."
"한쏠","4.5","1","0","다른 수식어가 필요하지 않다.
그냥 아름답다."
"규","3.5","1","0","퓨ㅠㅠㅠㅠㅠㅠㅠㅠ"
"윤송희","2.5","1","0","뻔함"
"기분파 혜진","4.0","1","0","이기적인 사랑. 하지만 솔직한 마음으로 선택한 삶을 살았던 그들은 부러움."
"JHK","3.5","1","0","때로는 판타지라고 생각해온 허상이 진실로 다가올때가 있다."
"lufwa","3.5","1","0","로맨스영화 안좋아해도 이영화는 좋아할 듯."
"Sarah Jee","3.5","1","0","나에게 두번째 사랑이 찾아온다면 이 영화를 오롯이 이해할 수 있을 것 같다."
"허준연","3.5","1","1","클리셰 덩어리라도,
로맨스/맬로의 핵심은 배우섭외!"
"공민경","4.0","1","0","사랑스러운 영화는 그 자체로도 충분한 가치가 있다"
"항겅향경","3.5","1","0","여자가 너무 이기적인듯?
재밌게 보기는 했지만 남자의 지고지순한 마음이 감동일뿐 이 사랑 이야기 자체엔 큰 감동을 못 느끼겠다. 
실화라니까 뭐."
"월급루팡","1.5","1","0","새로움이 없다."
"현성","4.5","1","0","망할 빈부격차같으니라고.
여자의 머리속이 궁금하다."
"은은","3.5","1","0","너무도 뻔한 스토리인데 눈물이 펑펑 쏟아진 이유는 비현실적으로 간절한 사랑을 마음 한 구석에서 꿈꾸고 있어서일 것이다"
"코이","2.0","1","0","에라이나쁘년아"
"6packs","3.0","1","0","레이첼 맥아담스만 남는 영화."
"울양","4.0","1","0","멜로를 좋아하지 않는데, 이 영화는 좋다."
"박민지","3.5","1","0","재밌긴한데 좀 뻔하고
노년의 둘이 더 좋다"
"박금식","3.5","1","0","레이첼 맥아담스
참예쁘네요~
첫사랑은 잊혀진다는데
엘리와 노아의 사랑은 운명이네요
엘리는 참 행복한 사람이네요
변하지않는 노아의한결같은사랑
죽는 순간까지~
자신들의 사랑이야기로 기억을  되살리려는 노아의노력
감동적입니다~"
"달희","4.0","1","0","첫사랑을 보여주는 영화. 레이첼 맥아담스의 미소가 사랑스럽다."
"이은지","3.5","1","0","첫사랑과 끝사랑. 진부하지만 아름답다. 공감할 수 없어 안타까운...잔잔하지만 열렬한 사랑"
"김종찬","4.0","1","0","유독 한국에서 사랑받긴 했지"
"Tiffany Young Mee","3.0","1","0","백조의 호수.."
"최고영","2.5","1","0","영원불멸의 사랑을 느끼러 갔는데 영원히 이 영화를 보지 않을것이란 걸 깨닫고 왔다"
"June","2.0","1","0","이거 왜 예상별점 4.2 나오지"
