"작성자","평점","좋아요","댓글수","리뷰"
"Isac John","4.0","52","0","결국 우리가 원하는 건,
내가 사랑하는 사람이 나를 사랑해주는 것
.
.
푸른밤        
                     - 나희덕
.
너에게로 가지 않으려고 미친 듯 걸었던
그 무수한 길도
실은 네게로 향한 것이었다.
.
까마득한 밤길을 혼자 걸어갈 때에도
내 응시에 날아간 별은
네 머리 위에서 반짝였을 것이고
.
내 한숨과 입김에 꽃들은
네게로 몸을 기울여 흔들렸을 것이다.
.
사랑에서 치욕으로,
다시 치욕에서 사랑으로,
하루에도 몇번씩 네게로 드리웠던 두레박.
.
그러나 매양 퍼올린 것은
수만 갈래의 길이었을 따름이다.
.
은하수의 한 별이 또 하나의 별을 찾아가는
그 수만의 길을 나는 걷고 있는 것이다.
.
나의 생애는
모든 지름길을 돌아서
네게로 난 단 하나의 에움길이었다."
"이알미","5.0","52","2","살면서 사랑에 대한 회의감이 들때마다 다시보곤
했던 영화. 아름다운 영상과 미소가 절로 나는 
스토리.. 다시 볼때마다 다시 사랑을 믿게 된다.
그래서 감사한 영화."
"우디킴","5.0","51","2","극이 아닌 현실에서도 이런 사랑이 정말 있을까요? 이런, 이 영화가 실화네요..."
"LSD","4.0","49","0","완벽한 사랑은 없어도, 진정한 사랑은 여기에."
"임판호","3.5","49","9","그냥 너랑봐서 좋았다.
덧! 라는 코멘트를 언젠가는 달아보고 싶네요...하하흐흑..
다 필요없고 이전에도,앞으로도 멜로여주는 레이첼 맥아담스가 단연 탑이라 생각됩니다ㅎㅎ
상업영화 뿐 아니라 작은영화(모스트원티드맨,스포트라이트등)에도 여러번 출연하는 그녀를 안좋아할래야 안좋아할수가 없네요ㅎㅎ"
"곽승현","4.5","48","0","옛날에 채널돌리다 하길래 10분쯤봤다. 지금 다시보니 맙소사! 그게 10분이 아니라 두시간이었어! 영화 시작한지 20분만에 사랑에 빠졌다. 레이첼 맥아담스 웃음소리 너무 좋아!"
"이호윤","3.0","47","0","기억의 끄트머리에 서서 함께한 순간들을 돌이키기 위해 소망을 적다"
"겨울비","2.5","47","0","재개봉으로 다시 보는데 ‘내가 부모님이면 어떻게든 뜯어말리지’, ‘약혼자 론은 무슨 죄냐’ ‘네네~ 두 분 아름다운 사랑하셨네요’의 마음으로 별을 몇 개 줬었나 하며 보니 무려 별 넷... 이제 그때의 별 넷 갬성이 내겐 남아있지 않은 듯하여 이 영화가 다른 의미로 너무 슬펐다"
"나뮤노","5.0","47","0","영화를 끝까지 다 본다음에 오프닝장면을 다시 본다면 그렇게 슬프지 않을수가 없다
-우는데 팔다리배까지 한꺼번에 저린적은 처음이다
-사랑하는사람과 영원히 같이보고싶은 영화
-실화"
"신종한","1.5","46","0","유치한 남자와 욕심 많은 여자의 진부한 사랑놀음"
"문채린","4.0","45","5","사랑하고, 사랑받고 싶고, 영원한 사랑을 믿게 해주는 영화. 굉장히 감성적이면서 감정적인 영화라 보는 관점에 따라, 상황에 따라 달라질 것 같다. 
하지만 지금의 내 관점에서는 사랑을 다시 한번 믿게 해준 작품이다. 내가 사랑하는 사람과 이 영화를 함께보며 서로를 믿고 이야기하는 날이 오기를.."
"꽃,,","3.0","44","2","이 영화가 그렇게 특별하고 주목할만한 사랑 이야기인지 나는 잘 모르겠다.
.
둘의 진실한 사랑이 부럽기는 하다."
"Dh","3.0","43","0","별똥별이 떨어진다. 짧았지만 밝게 빛났다
#그게 바로 우리
#메가박스"
"탈지구 기원자","2.0","42","0","순수하고 서툴며 뜨거웠던 첫사랑이 영원한 사랑으로 진하게 남을 때까지"
"곰도리푸","5.0","41","0","미친 명작...
쉴틈없이 울었다..."
"Paleblueye","4.0","38","0","그냥 여자가 나쁜거 아닌가?ㅋㅋ
아직 사랑같은거 잘 모르고 그냥 좋다 ㅋㅋ"
"이용회","1.5","36","0","앨리가 두 남자 사이에서 갈팡질팡 하는게 너무 짜증.. 둘다 사랑한다는 대사는 암유발!!!"
"주령","3.0","35","0","아니 전혀 아름다운 사랑이 아닌데?
이걸 이렇게 순수하고 이쁜 사랑으로 포장한다고?
.
.
.
(스포)
결혼 전에 여자친구 싱숭생숭해 보이길래 마음 정리할 겸 여행 다녀오라고 보내놨더니 전 남친 만나서 뒹굴거리다가 결국 자기 차고 전 남친에게 돌아갔는데?
샷건 들고 안 쫓아간 론 해먼드만 인격자인거 아닌가?
각 가문의 부모들이 사랑 없는 정략결혼을 시킨 것도 아니고, 둘 다 서로 사랑했던 사이였는데 이런 식으로 끝낸다니. 제멋대로 인 것도 정도가 있지.

물론 첫사랑이 곧 끝사랑이라는 노년의 사랑 파트는 감동적으로 볼 수도 있겠지만 젊은 시절은 도저히 쉴드 칠수가 없다. 차라리 더럽고 추악하고 치졸하게 표현하던가. 이걸 이쁘게 찍어?"
"치킨너겟지","5.0","35","2","사랑의 힘이란게 정말있구나라고 느끼게 해준 영화
노아가 타고 있던 버스속에서 앨리를 발견한장면을 보고 만나게 될사람은 꼭 만나게 된다는 말이 떠올랐다  
마지막 장면은 정말 감동적이다ㅠㅠ
실화라는게 놀랍다"
"샌드","3.0","35","0","낯선 영화에서 한국 영화의 냄새가 난다."
"노시노시","0.5","35","0","캐릭터들도 공감이 어렵고 그런 캐릭터들의 사랑은 더 이해가 안 된다."
"공주","4.5","34","27","🧡
with.ki"
"나쁜피","4.5","34","0","한 동안 최고의 멜로 영화였다.
2004-11-26 개봉"
"쿠퍼쿠퍼","3.5","34","0","이런게 진짜배기 사랑인가보다. 그러면서도 한편으론, 너무 이상적이지 않나 싶기도 하고."
"하랑이","0.5","32","0","15분보다 끔 놀이기구에 한 손으로 매달려서 사귀어 달라고 협박하는거 진짜 꼴보기싫다"
"skm","4.0","32","3","마지막 씬이 내 마음과 평점을 바꿨다."
"작두콩","1.5","32","0","모든 고난과 역경을 초월한 운명적인 사랑보다, 현실의 작은 것들을 하나하나 맞춰나가는 궁상맞은 사랑이 더 애틋해지는, 그런 나이가 되었나보다"
"소윤","4.5","30","4","이 영화를 같이보고싶은사람이 있다면,
그 사람이 노트북의 주인공일것만 같다"
"유상현","5.0","30","0","그 어떤것도 가로막지 못하는, 조건없는 진정한 사랑을 살면서 해볼 수 있을까? 영화의 주인공들이 유독 부러워지는 추운 겨울날 아침이다."
"아휘","4.0","30","2","싫어? 그럼 말어. 그렇게 살아와서 지고지순 남자의 순정을 모르(고 싶)지만 이 영화는 울림이 있었다. 이입하고 공감하게 만드는 힘. 라이언과 레이첼이니 뭐. (1307)"
"김형주","5.0","30","0","고등학교 때 반 년간 밤마다 돌려봤다. 항상 멜로 영화는 특정 시점, 단면만을 보여준다고 생각했다. 그들도 부부가 되고 서로 지겨워질 수도 있을 텐데. 이를 넘어선 위대한 이야기다"
"U2","3.5","29","0","하얀 지붕에 파란 대문🏠

-

두 번째 관람"
"희연희","3.0","28","0","“최고의 사랑은 영혼을 일깨우고, 더 많이 소망하게 하고, 가슴에는 열정을 마음에는 평화를 주지. 난 네게서 그걸 얻었고, 너에게 영원히 주고 싶었어.”"
"JUN","3.0","28","0","그남자 그여자의 첫사랑
석양물든 호숫가로 시작되는 사랑이야기, 노트북은 한여자를 위해 평생을 살아온 한남자의 이야기가 소박하면서도 잔잔하게 풀어집니다. 
영화는 두가지 이야기로 진행됩니다. 
하나는 요양소를 배경으로 치매에 걸린 할머니와 그 곁을 지키며 책을 읽어주는 할아버지의 이야기 이며 다른 하나는 할아버지가 읊어주는 과거 이야기 속 연인들의 로맨스 이죠. 
경제력과 신분의 차이로  앨리와 노아의 사랑이 이뤄지지 못한다는 설정은 사실 드라에서 흔히 볼수 있는 뻔한 설정입니다. 
그러나 영화 노트북에서 오는 감동은 과거의 이야기를 읽어주는 할아버지가 된 노아의 모습에서 찾아오게 됩니다. 
세월이 지나  앨리를 위해 노트북을 읽어주는노아의  모습을 통해 영환 조금  촌스럽더라도 그것이 시간이 지나도 변하지 않을 사랑이면 그 가치는 변하지 않는다고 말하고 있죠.
니콜라스 스팍스가 쓴 원작 소설에 근간을 두고 만들어진 이 영화는 운명적인 사랑을 말하지도 않고 그렇다고 해서 엄청난 이야기가 담겨져 있는 것도 아닙니다. 
운명적인 사랑을 말하기 보단 작은 노트북으로 펼쳐보는 추억담에 가깝다고 볼수 있죠.
노트북의 이야기는 조금 뻔해보일 지언정 그것이 운명적으로 보이지는 않습니다. 
가난한 노아와 부잣집 앨리가 사랑에 빠지게 되나 부모님의 반대로 인해 이 둘은 헤어지게 됩니다. 
노아는 1년간 매일 매일 앨리에게 편지를 보내지만 어머니의 방해로 인해 노아의 편지는 앨리에게 한번도 오지 않습니다. 
그렇게 둘은 각자의 삶을 살다가 결국 다시 만나게 되지만 이때는 이미 앨리에게 약혼자가 있는 상황이었죠. 
앨리는 1년 동안 엄마가  노아의 편지를 숨겼다는 사실을 알게 되고 결국 약혼자가 아닌 노아를 선택하게 됩니다. 
앨리와 노아의 사랑이 매우 극적임은 부정할 순 없지만 이둘의 만남이 처음부터 운명이었다고 단정지을 수 없습니다. 
극 중 이둘은 만남과 헤어짐을 여러번 반복했기 때문이죠. 
신분의 차이, 누군가의 방해, 앨리의 치매 까지 이들이 운명적인 사랑이었다면 이런 헤어짐의 순간자체가 없어야 햇을 지도 모릅니다. 
그러나 이런 헤어짐의 순간에도 서로의 마음을 확인 시켜 줄 수 있었던 것은 기록이었습니다. 
노아가 앨리를 위해 써준 편지, 나이든 노아가 나이든 앨리를 위해 읽어주던  노트북
처럼 기록하고 보니 운명적인 사랑으로 비춰질 뿐 그들의 만남이 처음부터 운명적이었던 것은 아니죠. 
기록은 시간이 지나면 미화됩니다. 
마치 그 시절, 그사람과 만남이 운명인것처럼 보이지만  정작 그사람과 만났던 그 순간이 아팠던 기억일 수도 있습니다. 
앨리를 위해 노트북을 읽어주던 노아의 모습처럼 기록된 과거보다 현재 그사람을  향한 마음이 중요한 것이죠. 
영화 노트 북은 운명적인 만남은 존재하지 않더라도 그 사람을 향한 진실된 마음은 영원할 수 있다는 걸 보여주고 있습니다."
