"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 11- 02","3,013.49","2,995.58","3,034.30","2,995.58","525.85M","1.16%"
"2021- 11- 01","2,978.94","2,984.18","2,991.81","2,976.87","475.38M","0.28%"
"2021- 10- 29","2,970.68","3,025.67","3,030.17","2,965.40","545.83M","-1.29%"
"2021- 10- 28","3,009.55","3,023.17","3,034.42","3,009.55","617.26M","-0.53%"
"2021- 10- 27","3,025.49","3,045.83","3,049.02","3,019.00","607.88M","-0.77%"
"2021- 10- 26","3,049.08","3,039.82","3,051.65","3,030.53","564.56M","0.94%"
"2021- 10- 25","3,020.54","3,001.10","3,025.27","2,983.29","791.80M","0.48%"
"2021- 10- 22","3,006.16","3,005.36","3,018.70","2,996.26","695.27M","-0.04%"
"2021- 10- 21","3,007.33","3,012.28","3,025.88","3,002.74","887.37M","-0.19%"
"2021- 10- 20","3,013.13","3,043.13","3,047.24","3,012.97","680.33M","-0.53%"
"2021- 10- 19","3,029.04","3,022.23","3,034.53","3,014.19","845.70M","0.74%"
"2021- 10- 18","3,006.68","3,017.48","3,021.17","2,990.44","926.37M","-0.28%"
"2021- 10- 15","3,015.06","3,012.62","3,021.90","2,999.33","857.80M","0.88%"
"2021- 10- 14","2,988.64","2,968.87","2,988.97","2,962.33","617.17M","1.50%"
"2021- 10- 13","2,944.41","2,913.34","2,953.33","2,909.47","752.13M","0.96%"
"2021- 10- 12","2,916.38","2,950.22","2,950.94","2,901.51","660.18M","-1.35%"
"2021- 10- 08","2,956.30","2,977.82","2,978.08","2,949.01","668.95M","-0.11%"
"2021- 10- 07","2,959.46","2,936.87","2,961.53","2,927.60","595.38M","1.76%"
"2021- 10- 06","2,908.31","2,986.06","2,993.47","2,908.30","901.72M","-1.82%"
"2021- 10- 05","2,962.17","2,998.17","2,998.17","2,940.59","840.56M","-1.89%"
"2021- 10- 01","3,019.18","3,056.21","3,062.60","3,015.01","855.48M","-1.62%"
"2021- 09- 30","3,068.82","3,054.87","3,079.43","3,046.43","885.82M","0.28%"
"2021- 09- 29","3,060.27","3,055.50","3,069.04","3,030.60","821.56M","-1.22%"
"2021- 09- 28","3,097.92","3,133.40","3,134.46","3,095.72","894.91M","-1.14%"
"2021- 09- 27","3,133.64","3,121.70","3,146.35","3,119.26","883.23M","0.27%"
"2021- 09- 24","3,125.24","3,140.73","3,146.86","3,119.40","753.22M","-0.07%"
"2021- 09- 23","3,127.58","3,123.64","3,131.63","3,107.98","623.84M","-0.41%"
"2021- 09- 17","3,140.51","3,127.75","3,142.13","3,112.51","589.24M","0.33%"
"2021- 09- 16","3,130.09","3,165.38","3,167.68","3,126.65","612.87M","-0.74%"
"2021- 09- 15","3,153.40","3,147.21","3,164.01","3,138.80","616.56M","0.15%"
"2021- 09- 14","3,148.83","3,137.32","3,164.31","3,137.32","713.23M","0.67%"
"2021- 09- 13","3,127.86","3,117.35","3,139.13","3,109.01","732.27M","0.07%"
"2021- 09- 10","3,125.76","3,121.09","3,131.54","3,103.38","723.08M","0.36%"
"2021- 09- 09","3,114.70","3,146.64","3,158.60","3,111.49","927.37M","-1.53%"
"2021- 09- 08","3,162.99","3,178.74","3,187.55","3,157.07","859.89M","-0.77%"
"2021- 09- 07","3,187.42","3,200.07","3,201.76","3,176.81","760.16M","-0.50%"
"2021- 09- 06","3,203.33","3,196.30","3,206.25","3,186.79","726.19M","0.07%"
"2021- 09- 03","3,201.06","3,189.71","3,203.08","3,181.64","641.51M","0.79%"
"2021- 09- 02","3,175.85","3,198.03","3,204.01","3,171.78","757.86M","-0.97%"
"2021- 09- 01","3,207.02","3,195.67","3,215.13","3,185.80","746.71M","0.24%"
"2021- 08- 31","3,199.27","3,144.49","3,199.89","3,130.30","661.22M","1.75%"
"2021- 08- 30","3,144.19","3,160.87","3,164.87","3,132.77","602.86M","0.33%"
"2021- 08- 27","3,133.90","3,116.29","3,143.01","3,106.97","520.67M","0.17%"
"2021- 08- 26","3,128.53","3,151.30","3,159.37","3,121.04","727.72M","-0.58%"
"2021- 08- 25","3,146.81","3,148.13","3,161.00","3,124.25","624.69M","0.27%"
"2021- 08- 24","3,138.30","3,119.70","3,142.58","3,115.23","586.53M","1.56%"
"2021- 08- 23","3,090.21","3,086.81","3,111.81","3,064.65","570.98M","0.97%"
"2021- 08- 20","3,060.51","3,111.10","3,122.09","3,049.03","672.09M","-1.20%"
"2021- 08- 19","3,097.83","3,140.01","3,158.00","3,097.83","655.63M","-1.93%"
"2021- 08- 18","3,158.93","3,141.98","3,175.88","3,124.56","622.79M","0.50%"
"2021- 08- 17","3,143.09","3,169.74","3,179.49","3,134.48","690.84M","-0.89%"
"2021- 08- 13","3,171.29","3,205.75","3,209.72","3,146.76","696.47M","-1.16%"
"2021- 08- 12","3,208.38","3,213.58","3,229.59","3,202.11","643.28M","-0.38%"
"2021- 08- 11","3,220.62","3,235.36","3,250.21","3,217.65","618.09M","-0.70%"
"2021- 08- 10","3,243.19","3,272.44","3,272.44","3,232.46","730.35M","-0.53%"
"2021- 08- 09","3,260.42","3,258.10","3,275.15","3,251.74","707.65M","-0.30%"
"2021- 08- 06","3,270.36","3,277.06","3,288.17","3,261.93","941.36M","-0.18%"
"2021- 08- 05","3,276.13","3,283.25","3,296.17","3,273.33","680.94M","-0.13%"
"2021- 08- 04","3,280.38","3,246.65","3,283.14","3,237.55","632.24M","1.34%"
"2021- 08- 03","3,237.14","3,221.57","3,237.14","3,213.20","653.51M","0.44%"
"2021- 08- 02","3,223.04","3,218.42","3,223.04","3,194.00","561.00M","0.65%"
"2021- 07- 30","3,202.32","3,234.37","3,234.66","3,202.32","687.86M","-1.24%"
"2021- 07- 29","3,242.65","3,248.49","3,252.26","3,232.50","694.82M","0.18%"
"2021- 07- 28","3,236.86","3,226.06","3,243.21","3,210.90","868.60M","0.13%"
"2021- 07- 27","3,232.53","3,244.43","3,252.85","3,230.75","991.94M","0.24%"
"2021- 07- 26","3,224.95","3,265.99","3,265.99","3,224.95","826.07M","-0.91%"
"2021- 07- 23","3,254.42","3,253.44","3,264.01","3,246.09","805.05M","0.13%"
"2021- 07- 22","3,250.21","3,235.17","3,253.75","3,235.17","712.98M","1.07%"
"2021- 07- 21","3,215.91","3,251.13","3,252.25","3,215.91","990.33M","-0.52%"
"2021- 07- 20","3,232.70","3,223.24","3,234.80","3,214.42","979.67M","-0.35%"
