"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"노트북","tmal****","2017.08.18. 16:15","1","주인공이 하면 로맨스 현실에선 불륜. 설마..하면 이루어지는 예상되는 스토리..  앨리의 약혼남 론과 노아와 함께하던 미망인만 불쌍하다 1점도 아까운 영화. 비윤리적인 장면에 깔린 아름다웅 BGM이 우스웠다.","25","1"
"노트북","song****","2017.08.27. 21:03","1","최고의 순정남인 척 세기의 사랑인 척 미망인, 약혼남 인생 망치고 내로남불 오지는 영화","28","4"
"노트북","yang****","2013.11.15. 17:21","1","기대가 너무 컸나..내용이 너무 더러웠다..보고나서도 찝찝한 영화","44","20"
"노트북","moon****","2017.02.25. 06:42","1","내로남불. 주인공에게만 감정이입하면 10점짜리지만 조연에 감정이입하면 1점도 아까운 영화.","28","5"
"노트북","psmo****","2011.06.06. 15:07","1","개연성과 현실감이 부족한 영화였음.","32","9"
"노트북","hwan****","2016.11.19. 11:05","1","바람을 미화하는 영화 여자가 못됬음 남자가 무슨죄임 불쌍함 여자 바람둥이최악","33","10"
"노트북","for9****","2014.01.01. 21:53","10","레이첼 맥아담스 쵝오♥","28","6"
"노트북","emil****","2016.09.18. 05:08","1","오랫만에 정말 OOO기같은 영화보네요 ㅎㅎ 불륜 미화 하는것도 너무 싫었고 약혼남만 너무 불쌍한 영화에요.. 앨리는 그냥 나쁜년 이고요. 이거보고 멘탈 산산조각 났습니다 . 안보신 분들은 앞으로도 안보는걸 추천드려요","31","9"
"노트북","mazo****","2005.01.07. 05:10","1","돌겄구만..평점 8을 넘기다니..0점을 줄 수 없어 1점이라도 준다.","28","7"
"노트북","juli****","2013.06.20. 03:26","10","이 새벽에 엄청 울었네요. 영원한 사랑은 뱀파이어 같은 게 아니죠.. 이런거죠...","31","10"
"노트북","kimt****","2007.01.17. 07:27","1","사람들은 눈물 흘렷다는데 저는왜 하나도 안슬플까요?","33","12"
"노트북","orun****","2016.11.28. 13:44","1","아름다운 이야기를 기대했는데, 과거의 사랑을 현재까지 끌고 오는 나쁜 행동에 모자라 결국 현재의 사람과 결혼해버린 별로 감동적이지 못한 이야기.","24","4"
"노트북","ocea****","2016.10.27. 23:42","1","이런거 다시보느니  러브액츄얼리 다시보겠다","24","4"
"노트북","hiph****","2016.10.10. 09:06","1","음.. 이런거 별로임...","24","4"
"노트북","frog****","2016.11.05. 22:02","1","요근래 본 중에 최악.눈물 많은 내가 울 생각도 안했는데 뭐가 눈물이 난다는건지...계속 지겨움을 참느라 혼났다.차라리 한국 드라마가 더 굿","25","5"
"노트북","smfq****","2015.10.10. 19:49","10","이영화를 오래전에 알았지만 보는걸 미뤘는데 이 영화를 처음 알게 되었을때 봤더라면 그 사람을 놓치진 읺았을꺼다 내 인생이 달라졌을텐데 . 행복에 겨웠을텐데.. 너무 마음이 아팠다 이런 사랑을 해본 사람이라면 애잔한 너무 아픈 마음을 공감할 영화..","30","10"
"노트북","lawv****","2013.11.09. 02:04","10","사랑해요.노아....","31","11"
"노트북","em84****","2017.05.28. 12:39","1","어떤 결말이든 누군가는 상처를 받았겠지만 노아랑 앨리 둘다 남 생각없이 너무 자기들 감정만을 밀어부쳐서 나에겐 좀 불편한 영화. 내가 30대 주부고 그냥 내가 너무 감성없는 사람이라 그런가봄.","20","1"
"노트북","renk****","2018.03.29. 22:03","5","첫사랑을 못잊은 사람에겐 명작. 애인이 바람핀 사람에게는 망작.","18","0"
"노트북","sua9****","2013.03.12. 20:39","10","나도 저런 사랑을 할 수 있을까? 사랑을 해본사람은 혹은 첫사랑에 상처받은 사람은 그 사랑의 애절함을 안다.","24","6"
"노트북","ygs0****","2016.11.02. 04:19","10","레이첼 맥아담스 너어어어어무 예쁘다.","17","0"
"노트북","pyun****","2018.06.14. 00:36","1","솔직히 추천 받아서 본 영화 중 가장 실망이네여...그닥 아름다운 사랑이야기는 아닌듯 합니다..","20","3"
"노트북","kbk3****","2013.07.22. 20:38","10","I wanna be with you~~","28","11"
"노트북","szap****","2015.10.13. 21:10","10","보고 또 봐도 나도 노아같은 남자 만나고싶다 일편단심 나만 봐주는","32","15"
"노트북","setm****","2014.07.20. 14:27","6","깊어질수록 무뎌져가는 이해 못할 로맨스","36","19"
"노트북","mila****","2017.04.01. 19:03","1","이딴게 사랑이면 사랑은 참 역겨운 감정이다.","22","6"
"노트북","pand****","2018.02.22. 17:23","10","앨리의 약혼남과 노아의 섹스파트너만 없었다면 정말 이보다 아름다운 사랑은 없을 '뻔'했다","15","0"
"노트북","rdee****","2015.12.06. 08:44","1","케이블에서 기대하고 봤는데...부제가 ...전세계를 울린 감동실화란다..ㅋ 총기가 허용된 나라에서 내가 만약 약혼자 남자입장이라면 쌍권총으로 벌집을 만들어 놓는다...","22","7"
"노트북","skaw****","2011.06.11. 16:38","1","슬프다고해서 봤는데 슬프기는 커녕 스토리 뻔하고 에휴","22","7"
"노트북","hyun****","2017.12.23. 21:07","6","최소한 자가 소유의 집은 있어야...","14","0"
"노트북","mong****","2015.06.21. 15:42","1","추잡하고 더러운 영화, 말년에 벌받은듯","23","9"
"노트북","aaha****","2013.05.15. 20:13","10","정말 이런 사랑해보고 싶네요♥","27","13"
"노트북","back****","2017.08.13. 19:28","1","하도명작이라고해서봤는데 진부하고 재미없는 사랑타령","13","0"
"노트북","gong****","2017.02.26. 20:29","1","지금 교제하고 있는 상대방이 아름다운 사랑찾아 간다면서 다른사람한테 떠나가봐야 이 영화가 얼마나 편협한 쓰레기영화였는지 알게될 듯. 상대가 상처를 받건 말건 사랑이란 말로 모든걸 정당화 시키려는 쓰레기들","17","4"
"노트북","grav****","2018.03.29. 11:58","5","약혼남은 얼마나 빡칠까?","12","0"
"노트북","cgc0****","2019.05.04. 04:50","1","한여자의 이기심과 자기 합리화 두 남자의 인생을 망칠 수 있다는 명작.영화자체는 재밌고 볼만하다고 할 수 있겠지만 아무리 봐도 여자가 XXX임.그냥 존나게 이기적이고 지기분따라 행동ㅎ고 뒷책임은 다 떠맡기려하고 지려하지않고 쫌 많이 역겨움","15","3"
"노트북","p_so****","2017.07.27. 03:05","1","기대했는데.. 뻔한 스토리에 약간 현실적이지도 않은 느낌. 7년이나 지났고 잠깐 여름되기전 한철 사랑한 사람을 현재의 약혼자를 버리면서까지 다시 사랑할수 있을지","16","4"
"노트북","gudw****","2020.06.30. 16:36","1","이 영화의 결말은 약혼남이 조용히 서랍 속의 샷건을 꺼내 여주와 남주의 머리를 수박마냥 터뜨려버렸어야 했다.","13","2"
"노트북","wjdt****","2019.03.20. 00:42","10","그 사람이 보고 싶어지는 영화","14","3"
"노트북","you8****","2017.02.26. 21:00","1","이 영화에 공감하는 사람들에게 '45년 후' 라는 영화 보고도 공감할 수 있는지 묻고싶다. 본인 감정에만 충실하는게 상대에겐 엄청난 상처가 될 수 있다는 것은 모르는가","16","5"
"노트북","anla****","2013.07.18. 22:24","10","볼때마다 울어요","25","14"
"노트북","repl****","2018.03.01. 01:16","10","새벽에 혼자 보면서 영화보다 이렇게 오열한적 처음","11","1"
"노트북","jinj****","2019.08.04. 03:58","10","“내 사랑 노아에게, 이걸 읽어주면 당신에게 돌아갈게”","12","2"
"노트북","maru****","2019.06.28. 04:07","2","여주인공이 정말 매력적인 영화지만 꼭 바람을 미화시켜야하는걸까...아니고서도 충분히 아름다울 수 있었는데 아쉽다. 난 왜 이 영화가 별로지 내가 특이한 정서를 가졌나 불안해할 필요없다. 그런 사람 또 있으니까","12","2"
