"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"첫키스만 50번째","eunj****","2021.10.31. 14:02","10","10 년 전에였나 본것같은데 그때와 지금 볼때 감정은 또 다른것같아요~ 루시도 그렇지만 남자 주인공의 사랑에 감동받고 교훈을 얻고 지금은 찾기 힘든 순수한 모습 보기 좋아요","1","0"
"첫키스만 50번째","pren****","2021.10.27. 23:54","10","만명중의 한명같은 꿈같은 사랑","1","0"
"첫키스만 50번째","cust****","2021.08.27. 01:29","9","로맨스영화를 오랜만에 봤는데 옛영화라 계속 묵혀뒀었다. 그래고 유명하니까 한번 봤는데 유명한 이유를 알겠더라. 이런게 정말 사랑이구나싶고 다시 한번 꿈꾸게되는 그런 사랑이다ㅠ 판타지물같은 기분ㅎㅎ","1","0"
"첫키스만 50번째","ch03****","2021.07.31. 04:35","10","오늘 또 보고야 말았네이 영화만 28번째.. 볼때마다 최고.. 눈물 찍찍~~두 주인공이 너무 예뻐 계속 보게 하는 영화 ~로코의 최고봉~","1","0"
"첫키스만 50번째","juli****","2020.11.29. 01:12","10","우울할 때 보면 나도 모르게 웃고 있어요:)","1","0"
"첫키스만 50번째","yeji****","2020.08.17. 00:14","8","참 슬픈 소재..?뭐랄까 병이 있다는거는 참 슬픈일일텐데 영화내내 흐뭇하게 웃고있는 나의 모습을 볼 수 있었다.매일매일 그녀에게 나는 처음 본 사람일텐데,그 사람이 나를 온전히 기억하지 못 하고 오늘일을 내일 잊는걸 앎에도 어떻게 저렇게 사랑할 수 있을까?오히려 다음날 잊기에 가능한 일일까?아침에 잠들다가 ...","1","0"
"첫키스만 50번째","camp****","2020.06.07. 16:40","10","아담샌들러의 커리어하이는 이 작품아닌가","1","0"
"첫키스만 50번째","lepo****","2020.06.05. 00:53","10","사랑이라는 힘이 뭘까 한계를 뛰어넘게 만드는 힘일까 이 영화를 보고 마치 사랑이라면 다 가능할거같은 러블리한 영화","1","0"
"첫키스만 50번째","ksw8****","2019.12.09. 20:51","10","전반적인 풍경이 아름답고 배우들도 각자 개성넘쳐요 OST도 명반이라 자주 봐요. 그나저나 이 영화가 나온게 벌써 15년이나 지났네요 세월 빠르다 ㅠㅠ","1","0"
"첫키스만 50번째","skyo****","2019.10.30. 02:58","8","사랑이 야속하고 또 힘들어도 결국 삶에 원동력이 되지","1","0"
"첫키스만 50번째","qitt****","2019.09.29. 19:22","10","존잼 ㅜㅜ 이제야 봤어요...","1","0"
"첫키스만 50번째","illu****","2019.09.29. 17:30","10","나오는 동물들이 너무 귀여워요 ㅠㅠ 그리고 보면 행복해지는 영화니까 꼭 보길 바라요 :)","1","0"
"첫키스만 50번째","dlqh****","2019.08.15. 20:25","10","제일 좋아하는 영화들 중 하나! 가족의 사랑도 빼놓을 수 없음!","1","0"
"첫키스만 50번째","jwat****","2019.06.23. 12:19","10","뻔한 코메디 뻔한 멜로가 아님.. 스토리가 탄탄하다","1","0"
"첫키스만 50번째","thwj****","2019.04.28. 03:45","10","최고의 로코 영화 나도 하와이 가보고 싶다","1","0"
"첫키스만 50번째","dlgm****","2019.04.23. 22:39","10","가장 재밌게 본 로맨스 영화 중 하나입니다","1","0"
"첫키스만 50번째","kenl****","2019.04.21. 10:03","10","너무 유쾌하고 감동적이고 러블리하고 마지막까지 완벽한 로맨스영화였다!!!!","1","0"
"첫키스만 50번째","hide****","2007.10.30. 15:03","10","드류싫어했다.이영화보고좋아졌다.이남자영화다찾아봤다.가볍지만.최고의멜로영화","1","0"
"첫키스만 50번째","dica****","2007.04.24. 16:45","10","드류베리모어!","1","0"
"첫키스만 50번째","jywb****","2020.07.06. 11:43","10","볼 때마다 마지막엔 울게 되네요ㅜ 감동적","2","1"
"첫키스만 50번째","heeh****","2019.06.07. 00:14","10","정말 아름답네요..(눙물줄줄)","2","1"
