"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내 머리속의 지우개","perf****","2014.08.10. 13:03","10","하 야구치는곳에서 손예진이 헤어지자할때 눈물쏟았다 너무 아름다운 사랑인듯","11","0"
"내 머리속의 지우개","4lea****","2019.03.17. 23:18","10","손예진 진짜 예쁘네 ㅜ ㅜ","12","1"
"내 머리속의 지우개","ivy1****","2018.03.05. 00:30","10","너무 사랑스럽고 아련한 첫사랑 같은 영화 입니다.","12","1"
"내 머리속의 지우개","zoie****","2017.09.08. 17:22","10","손예진은 정말 멜로 영화에 별이다.","12","1"
"내 머리속의 지우개","so84****","2018.08.21. 23:16","10","최고영화입니다.모든장면이 다 최고입니다..","13","2"
"내 머리속의 지우개","smil****","2018.09.07. 00:05","9","손예진진짜너무예쁘다ㅜㅜ여잔데도 정우성 안보이고 손예진만보였다,,.사랑스럽ㅜㅜㅜ","16","5"
"내 머리속의 지우개","hnny****","2020.05.06. 14:39","10","남자로 태어나서 37살에 참 진짜..무슨 궁상인지..아 왜케 눈물이 나는지 나도 모르겠다..아후..내 인생 최고 영화다","10","0"
"내 머리속의 지우개","rnjs****","2016.08.02. 20:42","10","정말 영화 보면서 눈물 나온건 이 영화가 처음이다. 20살이 아직 뭘알겠냐만은 그동안은  '남자가 뭐 영화보면서 우냐' 했는데 이 작품보면서 그냥 눈물이 슥 흘렀다. 평생 기억에 남을 영화","10","0"
"내 머리속의 지우개","skyb****","2016.01.15. 11:46","10","인생영화네요. 이런 영화를 만들어 주셔서 감사합니다.","10","0"
"내 머리속의 지우개","mari****","2015.12.26. 07:42","10","그냥 눈물자판기다 군대갈때도안울었는데또다시보고 오늘도울었다.","10","0"
"내 머리속의 지우개","euns****","2019.03.18. 00:54","10","EBS서 하는거 보고 4번째 보는건데도 눈이 튀어나오도록 울었다...정우성 손예진 연기 정말 레전드다!!!!","11","1"
"내 머리속의 지우개","amel****","2019.03.18. 00:51","10","ㅠㅠ 천국같은 영화에요 ㅜㅜ","12","2"
"내 머리속의 지우개","bisa****","2016.11.27. 00:00","10","2016년 청룡영화제 초대가수 마마무가 '정우성 이거원샷하면나랑사귀는거다'라고 말하는거보고 궁금해서보러왔는데 하..이걸 이제보게되네요.그당시에는 질질짜는영화라 안봤는데 오늘 눈물펑펑흘리며 봤습니다. 사랑한단말 아끼지 말아야겠습니다.","19","9"
"내 머리속의 지우개","towe****","2014.09.02. 22:58","10","보지않았으면 말을 말아야하는..","19","9"
"내 머리속의 지우개","kk0k****","2020.01.05. 16:46","10","2020년1월5일 일요일38세 노총각CGV채널에서 이영화를 보고 질질 짜다 이렇게 댓글남깁니다","9","0"
"내 머리속의 지우개","mins****","2018.05.27. 19:44","10","지금이야 유치하고 조금 뻔한스토리 이겠지만 그 시절의 순수한 사랑이야기를 알려주는 영화  손예진은 지금이나 예나 미모의 변화가 없을정도로 여전히 이쁘다...","9","0"
"내 머리속의 지우개","eix1****","2017.07.06. 21:28","10","제가 24년을 살면서 영화보고 운적이없는대 처음으로 눈물이 흐르더라구요","9","0"
"내 머리속의 지우개","tfg7****","2016.07.21. 14:04","10","감사합니다 이런영화를 볼수있게해주셔서...","9","0"
"내 머리속의 지우개","dkst****","2016.04.02. 09:00","10","오늘 처음봤는데 내가 이렇게 울수있는가 처음알았다","9","0"
"내 머리속의 지우개","ckh4****","2019.03.18. 00:56","10","몇번을 봤는지 모를. 볼때마다 생각이 많아지는 영화다 10점 이 아깝지 않다","10","1"
"내 머리속의 지우개","ju90****","2019.03.18. 00:50","10","로맨스 영화 중 최고에요 명작!!","10","1"
"내 머리속의 지우개","jym9****","2019.03.18. 00:39","10","하,,,몇번을 봐도 또 눈물이 난다...진짜 멜로 중 가장 명작이다....둘의 조합은 진짜 완벽했어. 두고두고 또 꺼내볼래","10","1"
"내 머리속의 지우개","tsso****","2019.02.15. 03:34","10","사람으로 태어나서 다른건 몰라도 다른건 다 갖지 못하고경험 하지 못한다해도 딱 하나 좋은 사람이 되어 좋은 사람을 만나 진심을 다하고 뛰어넘는 사랑은 해보고 싶다그렇게 평생 모든걸 주어도 아깝지 않은 사랑은 해보고 싶다 사랑만큼 좋은건 없으니까","11","2"
"내 머리속의 지우개","hong****","2017.08.03. 17:05","10","너무 몰입해서 봤어요.. ㅎ 제가 결혼해서 저런병이오면 남편이 얼마나 슬퍼할지도 상상되구 .. 최고의 영화입니다 ㅜㅜ 제가본 한국영화중에 제일 감동스럽고 애잔하네요 그와중에 정우성 왜이렇게 잘생겻지..","11","2"
"내 머리속의 지우개","exci****","2017.08.29. 19:58","10","정우성 인생 연기라고 해도 과언이 아니고 손예진은 젊은 나이에 저 역할을 너무 잘 소화 했다.. 조미료 뿌린 것 같지 않아서 좋았고 되게 진한 여운이 남는다 편지 씬에서 나도 같이폭풍 오열... 수진아 철수야! 안녕!","12","3"
"내 머리속의 지우개","aatr****","2014.01.11. 03:03","10","9년전에 영화관에서 그당시여자친구랑 볼려고예매하고 못봣는데 9년이지나서야 지금 봣네 정말너무 슬프다","12","3"
"내 머리속의 지우개","choo****","2013.12.19. 14:35","9","볼 때 마다 ... 눈물이 핑~ 돈다 ... 남자가 이런거 보고 울면 안됨? ㅠㅠ","12","3"
"내 머리속의 지우개","akzl****","2014.01.25. 21:52","10","편지읽을때 완전 감동했어요","15","6"
"내 머리속의 지우개","stei****","2019.03.18. 00:20","10","기억이 사라지면 영혼도 사라지는 거야...","8","0"
"내 머리속의 지우개","coli****","2018.06.11. 16:03","10","너무 슬퍼요...남자가 이렇게 눈물이 많아도 되나 ㅠ ㅠ ㅠ21살 먹고 한바탕 눈물 쏟았네..ㅠ ㅠ ㅠ ㅠ","8","0"
"내 머리속의 지우개","dasu****","2018.05.06. 02:57","10","하 진짜 사랑 영화하면 제일 먼저 떠오름","8","0"
"내 머리속의 지우개","tbvj****","2018.04.17. 23:36","10","손예진 진짜이뿌고 정우성 진짜머싯다 보고또봐도 슬프고 몰입도 갑인듯..","8","0"
"내 머리속의 지우개","soyy****","2018.03.04. 03:21","10","손예진은 너무나도 예쁘다... 그리고 눈물이 주르륵...","8","0"
"내 머리속의 지우개","masa****","2016.06.30. 20:55","10","오랫만에 혼자 다시 보게 되었는데..눈물이 너무 많이난다.. 정말 좋은 영화다.","8","0"
